Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5925x2755
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 5925x2755
Scaled Tile Size: 64x64
Total Mask: 87.71%, Total Tissue: 12.29%
Tiles: 93x44 = 4092
   105 ( 2.57%) tiles >=80% tissue
   859 (20.99%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
8,1,8,21.80,MEDIUM,448,0,512,64,64,64,2146,1.00,0.20,0.2237
105,2,12,23.34,MEDIUM,704,64,768,128,64,64,   0,1.00,0.20,0.0000
134,2,41,26.59,MEDIUM,2560,64,2624,128,64,64,2707,1.00,0.20,0.3080
135,2,42,42.94,MEDIUM,2624,64,2688,128,64,64,1526,1.00,0.20,0.5136
136,2,43,27.37,MEDIUM,2688,64,2752,128,64,64,1983,1.00,0.20,0.3096
158,2,65,21.00,MEDIUM,4096,64,4160,128,64,64,3490,1.00,0.20,0.2240
196,3,10,49.02,MEDIUM,576,128,640,192,64,64,   0,1.00,0.20,0.0000
197,3,11,34.67,MEDIUM,640,128,704,192,64,64,6795,1.00,0.20,0.4644
198,3,12,30.91,MEDIUM,704,128,768,192,64,64,4755,1.00,0.20,0.3958
199,3,13,41.60,MEDIUM,768,128,832,192,64,64,   0,1.00,0.20,0.0000
206,3,20,21.88,MEDIUM,1216,128,1280,192,64,64,   0,1.00,0.20,0.0000
226,3,40,16.82,MEDIUM,2496,128,2560,192,64,64,3565,1.00,0.20,0.1568
227,3,41,79.66,MEDIUM,2560,128,2624,192,64,64, 702,1.00,0.20,0.7586
228,3,42,90.31,HIGH,2624,128,2688,192,64,64, 167,1.00,1.00,0.8069
229,3,43,89.60,HIGH,2688,128,2752,192,64,64,1344,1.00,1.00,0.8526
230,3,44,57.69,MEDIUM,2752,128,2816,192,64,64,1566,1.00,0.20,0.6568
289,4,10,39.92,MEDIUM,576,192,640,256,64,64,   0,1.00,0.20,0.0000
290,4,11,41.02,MEDIUM,640,192,704,256,64,64,   0,1.00,0.20,0.0149
291,4,12,42.50,MEDIUM,704,192,768,256,64,64,   0,1.00,0.20,0.0000
292,4,13,41.21,MEDIUM,768,192,832,256,64,64,   0,1.00,0.20,0.0000
293,4,14,34.62,MEDIUM,832,192,896,256,64,64,   0,1.00,0.20,0.0000
300,4,21,22.31,MEDIUM,1280,192,1344,256,64,64,   0,1.00,0.20,0.0000
320,4,41,16.48,MEDIUM,2560,192,2624,256,64,64,   0,1.00,0.20,0.0000
321,4,42,84.77,HIGH,2624,192,2688,256,64,64,   0,1.00,1.00,0.0000
322,4,43,76.03,MEDIUM,2688,192,2752,256,64,64,  16,1.00,0.20,0.4522
323,4,44,84.33,HIGH,2752,192,2816,256,64,64,1668,1.00,1.00,0.8407
345,4,66,21.95,MEDIUM,4160,192,4224,256,64,64,   0,1.00,0.20,0.0000
346,4,67,22.31,MEDIUM,4224,192,4288,256,64,64,   0,1.00,0.20,0.0000
380,5,8,29.15,MEDIUM,448,256,512,320,64,64,7631,1.00,0.20,0.3838
381,5,9,15.70,MEDIUM,512,256,576,320,64,64,4968,0.49,0.20,0.1324
382,5,10,36.47,MEDIUM,576,256,640,320,64,64,  24,1.00,0.20,0.1901
383,5,11,37.65,MEDIUM,640,256,704,320,64,64,  66,1.00,0.20,0.2738
384,5,12,25.73,MEDIUM,704,256,768,320,64,64,   1,1.00,0.20,0.0105
385,5,13,49.76,MEDIUM,768,256,832,320,64,64,   4,1.00,0.20,0.1290
386,5,14,46.92,MEDIUM,832,256,896,320,64,64, 265,1.00,0.20,0.4676
387,5,15,34.67,MEDIUM,896,256,960,320,64,64,   0,1.00,0.20,0.0000
393,5,21,26.17,MEDIUM,1280,256,1344,320,64,64,   0,1.00,0.20,0.0000
412,5,40,22.88,MEDIUM,2496,256,2560,320,64,64,  90,1.00,0.20,0.1334
413,5,41,52.78,MEDIUM,2560,256,2624,320,64,64, 627,1.00,0.20,0.5742
414,5,42,88.33,HIGH,2624,256,2688,320,64,64,   1,1.00,1.00,0.3328
415,5,43,86.13,HIGH,2688,256,2752,320,64,64,   5,1.00,1.00,0.5803
416,5,44,86.72,HIGH,2752,256,2816,320,64,64,  90,1.00,1.00,0.7722
417,5,45,74.12,MEDIUM,2816,256,2880,320,64,64,1400,1.00,0.20,0.7560
449,5,77,22.90,MEDIUM,4864,256,4928,320,64,64,  50,1.00,0.20,0.1116
473,6,8,17.43,MEDIUM,448,320,512,384,64,64,  35,1.00,0.20,0.0597
