Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 4480x3192
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 4480x3192
Scaled Tile Size: 64x64
Total Mask: 61.08%, Total Tissue: 38.92%
Tiles: 70x50 = 3500
  1210 (34.57%) tiles >=80% tissue
   386 (11.03%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
165,3,25,16.72,MEDIUM,1536,128,1600,192,64,64,   2,1.00,0.20,0.0073
166,3,26,13.04,MEDIUM,1600,128,1664,192,64,64,   1,1.00,0.20,0.0020
229,4,19,29.30,MEDIUM,1152,192,1216,256,64,64,   1,1.00,0.20,0.0096
230,4,20,65.82,MEDIUM,1216,192,1280,256,64,64,   0,1.00,0.20,0.0396
231,4,21,73.88,MEDIUM,1280,192,1344,256,64,64,   1,1.00,0.20,0.0550
232,4,22,78.59,MEDIUM,1344,192,1408,256,64,64,   0,1.00,0.20,0.0395
233,4,23,93.95,HIGH,1408,192,1472,256,64,64,   1,1.00,1.00,0.4037
234,4,24,97.63,HIGH,1472,192,1536,256,64,64,   1,1.00,1.00,0.4069
235,4,25,95.24,HIGH,1536,192,1600,256,64,64,   2,1.00,1.00,0.4558
236,4,26,99.10,HIGH,1600,192,1664,256,64,64,   3,0.49,1.00,0.4727
237,4,27,99.32,HIGH,1664,192,1728,256,64,64,   3,0.49,1.00,0.4795
238,4,28,82.74,HIGH,1728,192,1792,256,64,64,   2,1.00,1.00,0.4534
239,4,29,77.95,MEDIUM,1792,192,1856,256,64,64,   2,1.00,0.20,0.1818
240,4,30,69.56,MEDIUM,1856,192,1920,256,64,64,   2,1.00,0.20,0.1385
241,4,31,81.98,HIGH,1920,192,1984,256,64,64,   1,1.00,1.00,0.2856
