Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3072x3360
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3072x3360
Scaled Tile Size: 64x64
Total Mask: 83.40%, Total Tissue: 16.60%
Tiles: 48x53 = 2544
   137 ( 5.39%) tiles >=80% tissue
   493 (19.38%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
215,5,23,76.10,MEDIUM,1408,256,1472,320,64,64,  26,1.00,0.20,0.5156
216,5,24,19.12,MEDIUM,1472,256,1536,320,64,64,  49,1.00,0.20,0.0801
262,6,22,41.11,MEDIUM,1344,320,1408,384,64,64,  32,1.00,0.20,0.2534
263,6,23,94.09,HIGH,1408,320,1472,384,64,64,   0,1.00,1.00,0.2098
264,6,24,89.48,HIGH,1472,320,1536,384,64,64,   0,1.00,1.00,0.2359
265,6,25,51.66,MEDIUM,1536,320,1600,384,64,64,   0,1.00,0.20,0.0000
310,7,22,43.60,MEDIUM,1344,384,1408,448,64,64, 292,1.00,0.20,0.4371
311,7,23,91.82,HIGH,1408,384,1472,448,64,64,  39,1.00,1.00,0.7561
312,7,24,88.40,HIGH,1472,384,1536,448,64,64,   0,1.00,1.00,0.0000
313,7,25,66.85,MEDIUM,1536,384,1600,448,64,64,  41,1.00,0.20,0.4984
315,7,27,20.34,MEDIUM,1664,384,1728,448,64,64,   0,1.00,0.20,0.0037
344,8,8,15.45,MEDIUM,448,448,512,512,64,64, 639,1.00,0.20,0.1040
345,8,9,36.74,MEDIUM,512,448,576,512,64,64, 819,1.00,0.20,0.4080
346,8,10,36.84,MEDIUM,576,448,640,512,64,64,   0,1.00,0.20,0.0000
347,8,11,43.99,MEDIUM,640,448,704,512,64,64,   0,1.00,0.20,0.0000
348,8,12,57.37,MEDIUM,704,448,768,512,64,64, 948,1.00,0.20,0.6335
349,8,13,72.00,MEDIUM,768,448,832,512,64,64, 378,1.00,0.20,0.6923
350,8,14,49.63,MEDIUM,832,448,896,512,64,64, 410,1.00,0.20,0.5212
358,8,22,53.69,MEDIUM,1344,448,1408,512,64,64, 645,1.00,0.20,0.5838
359,8,23,87.43,HIGH,1408,448,1472,512,64,64,   7,1.00,1.00,0.6067
360,8,24,80.13,HIGH,1472,448,1536,512,64,64,  14,1.00,1.00,0.6344
361,8,25,63.48,MEDIUM,1536,448,1600,512,64,64,  15,1.00,0.20,0.3621
362,8,26,46.80,MEDIUM,1600,448,1664,512,64,64,   0,1.00,0.20,0.0000
363,8,27,79.93,MEDIUM,1664,448,1728,512,64,64,   0,1.00,0.20,0.0000
364,8,28,52.51,MEDIUM,1728,448,1792,512,64,64,   0,1.00,0.20,0.0000
365,8,29,28.20,MEDIUM,1792,448,1856,512,64,64,   0,1.00,0.20,0.0000
390,9,6,33.13,MEDIUM,320,512,384,576,64,64,   0,1.00,0.20,0.0000
391,9,7,72.36,MEDIUM,384,512,448,576,64,64, 267,1.00,0.20,0.6767
392,9,8,78.71,MEDIUM,448,512,512,576,64,64,2169,1.00,0.20,0.7901
393,9,9,80.83,HIGH,512,512,576,576,64,64,1422,1.00,1.00,0.8259
394,9,10,84.64,HIGH,576,512,640,576,64,64,   0,1.00,1.00,0.0000
395,9,11,86.06,HIGH,640,512,704,576,64,64,   2,1.00,1.00,0.4632
396,9,12,89.89,HIGH,704,512,768,576,64,64,  42,1.00,1.00,0.7523
397,9,13,86.55,HIGH,768,512,832,576,64,64,  46,1.00,1.00,0.7430
398,9,14,84.52,HIGH,832,512,896,576,64,64, 137,1.00,1.00,0.7788
406,9,22,49.05,MEDIUM,1344,512,1408,576,64,64, 169,1.00,0.20,0.4607
407,9,23,86.33,HIGH,1408,512,1472,576,64,64,  34,1.00,1.00,0.7260
408,9,24,85.08,HIGH,1472,512,1536,576,64,64,   0,1.00,1.00,0.0000
409,9,25,73.73,MEDIUM,1536,512,1600,576,64,64,   0,1.00,0.20,0.0000
410,9,26,78.93,MEDIUM,1600,512,1664,576,64,64,   5,1.00,0.20,0.2873
411,9,27,77.12,MEDIUM,1664,512,1728,576,64,64,   2,1.00,0.20,0.1669
412,9,28,74.27,MEDIUM,1728,512,1792,576,64,64,   0,1.00,0.20,0.0000
413,9,29,73.00,MEDIUM,1792,512,1856,576,64,64,   0,1.00,0.20,0.0000
414,9,30,71.70,MEDIUM,1856,512,1920,576,64,64,   0,1.00,0.20,0.0000
415,9,31,64.26,MEDIUM,1920,512,1984,576,64,64,   0,1.00,0.20,0.0000
416,9,32,26.78,MEDIUM,1984,512,2048,576,64,64,   0,1.00,0.20,0.0000
439,10,7,65.89,MEDIUM,384,576,448,640,64,64,   0,1.00,0.20,0.0376
440,10,8,62.57,MEDIUM,448,576,512,640,64,64,   0,1.00,0.20,0.0000
441,10,9,77.44,MEDIUM,512,576,576,640,64,64, 101,1.00,0.20,0.6469
442,10,10,77.95,MEDIUM,576,576,640,640,64,64,   0,1.00,0.20,0.0000
443,10,11,82.32,HIGH,640,576,704,640,64,64,   0,1.00,1.00,0.0000
444,10,12,84.42,HIGH,704,576,768,640,64,64,  41,1.00,1.00,0.7267
445,10,13,89.50,HIGH,768,576,832,640,64,64,  36,1.00,1.00,0.7429
446,10,14,92.70,HIGH,832,576,896,640,64,64,   9,1.00,1.00,0.6631
447,10,15,43.58,MEDIUM,896,576,960,640,64,64, 168,1.00,0.20,0.4022
454,10,22,29.91,MEDIUM,1344,576,1408,640,64,64, 105,1.00,0.20,0.2164
455,10,23,81.47,HIGH,1408,576,1472,640,64,64,  49,1.00,1.00,0.7215
456,10,24,71.41,MEDIUM,1472,576,1536,640,64,64,1625,1.00,0.20,0.7469
457,10,25,55.44,MEDIUM,1536,576,1600,640,64,64,1650,1.00,0.20,0.6407
458,10,26,85.28,HIGH,1600,576,1664,640,64,64,2383,1.00,1.00,0.8497
459,10,27,46.90,MEDIUM,1664,576,1728,640,64,64,  46,1.00,0.20,0.3377
460,10,28,38.84,MEDIUM,1728,576,1792,640,64,64,   0,1.00,0.20,0.0000
461,10,29,70.39,MEDIUM,1792,576,1856,640,64,64,   5,1.00,0.20,0.2649
462,10,30,73.54,MEDIUM,1856,576,1920,640,64,64,   0,1.00,0.20,0.0000
463,10,31,58.94,MEDIUM,1920,576,1984,640,64,64,   0,1.00,0.20,0.0000
464,10,32,47.51,MEDIUM,1984,576,2048,640,64,64,   0,1.00,0.20,0.0000
465,10,33,16.16,MEDIUM,2048,576,2112,640,64,64,   0,1.00,0.20,0.0000
