Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2388x2926
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2388x2926
Scaled Tile Size: 64x64
Total Mask: 84.88%, Total Tissue: 15.12%
Tiles: 38x46 = 1748
   185 (10.58%) tiles >=80% tissue
   177 (10.13%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
101,3,25,85.96,HIGH,1536,128,1600,192,64,64, 163,1.00,1.00,0.7903
102,3,26,69.97,MEDIUM,1600,128,1664,192,64,64, 273,1.00,0.20,0.6630
138,4,24,30.91,MEDIUM,1472,192,1536,256,64,64, 238,1.00,0.20,0.2706
139,4,25,99.27,HIGH,1536,192,1600,256,64,64, 170,0.49,1.00,0.8138
140,4,26,93.04,HIGH,1600,192,1664,256,64,64, 349,1.00,1.00,0.8353
141,4,27,21.36,MEDIUM,1664,192,1728,256,64,64, 622,1.00,0.20,0.1807
176,5,24,72.07,MEDIUM,1472,256,1536,320,64,64, 168,1.00,0.20,0.6479
177,5,25,100.00,HIGH,1536,256,1600,320,64,64, 145,0.49,1.00,0.8105
178,5,26,97.75,HIGH,1600,256,1664,320,64,64, 704,1.00,1.00,0.8624
214,6,24,96.88,HIGH,1472,320,1536,384,64,64, 181,1.00,1.00,0.8300
215,6,25,99.68,HIGH,1536,320,1600,384,64,64, 255,1.00,1.00,0.8464
216,6,26,89.11,HIGH,1600,320,1664,384,64,64, 502,1.00,1.00,0.8317
232,7,4,64.62,MEDIUM,192,384,256,448,64,64, 119,1.00,0.20,0.5727
233,7,5,64.01,MEDIUM,256,384,320,448,64,64, 109,1.00,0.20,0.5614
234,7,6,51.22,MEDIUM,320,384,384,448,64,64, 159,1.00,0.20,0.4780
238,7,10,36.67,MEDIUM,576,384,640,448,64,64,  29,1.00,0.20,0.2059
252,7,24,94.46,HIGH,1472,384,1536,448,64,64, 166,1.00,1.00,0.8203
253,7,25,98.12,HIGH,1536,384,1600,448,64,64, 191,1.00,1.00,0.8350
254,7,26,80.10,HIGH,1600,384,1664,448,64,64, 491,1.00,1.00,0.7991
269,8,3,20.00,MEDIUM,128,448,192,512,64,64,  91,1.00,0.20,0.1056
270,8,4,98.68,HIGH,192,448,256,512,64,64, 136,1.00,1.00,0.8274
271,8,5,99.80,HIGH,256,448,320,512,64,64, 258,1.00,1.00,0.8470
272,8,6,93.55,HIGH,320,448,384,512,64,64, 477,1.00,1.00,0.8438
290,8,24,99.93,HIGH,1472,448,1536,512,64,64, 145,0.49,1.00,0.8102
291,8,25,96.26,HIGH,1536,448,1600,512,64,64, 231,1.00,1.00,0.8347
292,8,26,75.81,MEDIUM,1600,448,1664,512,64,64, 626,1.00,0.20,0.7354
307,9,3,16.04,MEDIUM,128,512,192,576,64,64,  84,1.00,0.20,0.0690
308,9,4,99.58,HIGH,192,512,256,576,64,64,  75,1.00,1.00,0.8113
309,9,5,99.32,HIGH,256,512,320,576,64,64, 105,1.00,1.00,0.8215
310,9,6,98.29,HIGH,320,512,384,576,64,64, 239,1.00,1.00,0.8411
311,9,7,37.84,MEDIUM,384,512,448,576,64,64, 549,1.00,0.20,0.4027
316,9,12,21.39,MEDIUM,704,512,768,576,64,64,  55,1.00,0.20,0.1019
327,9,23,23.27,MEDIUM,1408,512,1472,576,64,64,  98,1.00,0.20,0.1409
328,9,24,99.76,HIGH,1472,512,1536,576,64,64, 142,0.49,1.00,0.8090
329,9,25,99.98,HIGH,1536,512,1600,576,64,64, 165,1.00,1.00,0.8364
330,9,26,73.58,MEDIUM,1600,512,1664,576,64,64, 544,1.00,0.20,0.7178
346,10,4,91.14,HIGH,192,576,256,640,64,64,  55,1.00,1.00,0.7702
347,10,5,99.95,HIGH,256,576,320,640,64,64,  63,0.49,1.00,0.7761
348,10,6,99.63,HIGH,320,576,384,640,64,64, 370,1.00,1.00,0.8545
349,10,7,44.48,MEDIUM,384,576,448,640,64,64, 701,1.00,0.20,0.4948
354,10,12,22.07,MEDIUM,704,576,768,640,64,64,  54,1.00,0.20,0.1071
366,10,24,92.65,HIGH,1472,576,1536,640,64,64, 120,1.00,1.00,0.8046
367,10,25,99.22,HIGH,1536,576,1600,640,64,64, 179,1.00,1.00,0.8364
