Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3600x1944
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3600x1944
Scaled Tile Size: 64x64
Total Mask: 90.99%, Total Tissue: 9.01%
Tiles: 57x31 = 1767
   123 ( 6.96%) tiles >=80% tissue
    77 ( 4.36%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
159,3,45,22.46,MEDIUM,2816,128,2880,192,64,64,  23,1.00,0.20,0.0807
212,4,41,19.65,MEDIUM,2560,192,2624,256,64,64,   8,1.00,0.20,0.0358
213,4,42,15.92,MEDIUM,2624,192,2688,256,64,64,   8,1.00,0.20,0.0240
214,4,43,24.71,MEDIUM,2688,192,2752,256,64,64,   7,1.00,0.20,0.0489
215,4,44,29.42,MEDIUM,2752,192,2816,256,64,64,  12,1.00,0.20,0.0950
216,4,45,56.79,MEDIUM,2816,192,2880,256,64,64,  34,1.00,0.20,0.3982
217,4,46,35.03,MEDIUM,2880,192,2944,256,64,64,  60,1.00,0.20,0.2394
268,5,40,41.04,MEDIUM,2496,256,2560,320,64,64,   1,1.00,0.20,0.0334
269,5,41,96.78,HIGH,2560,256,2624,320,64,64,  35,1.00,1.00,0.7703
270,5,42,93.60,HIGH,2624,256,2688,320,64,64,  23,1.00,1.00,0.7365
271,5,43,97.66,HIGH,2688,256,2752,320,64,64,  11,1.00,1.00,0.7056
272,5,44,96.36,HIGH,2752,256,2816,320,64,64,  11,1.00,1.00,0.6960
273,5,45,98.10,HIGH,2816,256,2880,320,64,64,  22,1.00,1.00,0.7516
274,5,46,47.19,MEDIUM,2880,256,2944,320,64,64,  54,1.00,0.20,0.3546
324,6,39,29.54,MEDIUM,2432,320,2496,384,64,64,  15,1.00,0.20,0.1065
325,6,40,97.05,HIGH,2496,320,2560,384,64,64,  24,1.00,1.00,0.7520
326,6,41,97.49,HIGH,2560,320,2624,384,64,64,  17,1.00,1.00,0.7348
327,6,42,95.36,HIGH,2624,320,2688,384,64,64,  48,1.00,1.00,0.7800
328,6,43,97.00,HIGH,2688,320,2752,384,64,64,  17,1.00,1.00,0.7309
329,6,44,96.26,HIGH,2752,320,2816,384,64,64,   7,1.00,1.00,0.6573
330,6,45,97.09,HIGH,2816,320,2880,384,64,64,  17,1.00,1.00,0.7301
331,6,46,73.51,MEDIUM,2880,320,2944,384,64,64,  51,1.00,0.20,0.5669
381,7,39,50.15,MEDIUM,2432,384,2496,448,64,64,  19,1.00,0.20,0.2847
382,7,40,95.14,HIGH,2496,384,2560,448,64,64,  14,1.00,1.00,0.7105
383,7,41,93.70,HIGH,2560,384,2624,448,64,64,  16,1.00,1.00,0.7131
384,7,42,96.75,HIGH,2624,384,2688,448,64,64,   7,1.00,1.00,0.6589
385,7,43,98.22,HIGH,2688,384,2752,448,64,64,   5,1.00,1.00,0.6352
386,7,44,94.97,HIGH,2752,384,2816,448,64,64,  11,1.00,1.00,0.6921
387,7,45,95.65,HIGH,2816,384,2880,448,64,64,  21,1.00,1.00,0.7389
388,7,46,69.43,MEDIUM,2880,384,2944,448,64,64, 110,1.00,0.20,0.6017
438,8,39,51.81,MEDIUM,2432,448,2496,512,64,64,  71,1.00,0.20,0.4215
439,8,40,94.82,HIGH,2496,448,2560,512,64,64,  38,1.00,1.00,0.7666
440,8,41,98.49,HIGH,2560,448,2624,512,64,64,  22,1.00,1.00,0.7538
441,8,42,98.29,HIGH,2624,448,2688,512,64,64,  16,1.00,1.00,0.7313
442,8,43,97.39,HIGH,2688,448,2752,512,64,64,   9,1.00,1.00,0.6824
443,8,44,95.36,HIGH,2752,448,2816,512,64,64,  25,1.00,1.00,0.7485
444,8,45,96.04,HIGH,2816,448,2880,512,64,64,  39,1.00,1.00,0.7726
445,8,46,23.02,MEDIUM,2880,448,2944,512,64,64,  98,1.00,0.20,0.1380
496,9,40,19.29,MEDIUM,2496,512,2560,576,64,64, 117,1.00,0.20,0.1063
497,9,41,76.15,MEDIUM,2560,512,2624,576,64,64,  62,1.00,0.20,0.6002
