Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1692x4932
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 1692x4932
Scaled Tile Size: 64x64
Total Mask: 80.70%, Total Tissue: 19.30%
Tiles: 27x78 = 2106
   286 (13.58%) tiles >=80% tissue
   239 (11.35%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
40,2,13,53.00,MEDIUM,768,64,832,128,64,64,   0,1.00,0.20,0.0000
41,2,14,44.34,MEDIUM,832,64,896,128,64,64,   0,1.00,0.20,0.0000
49,2,22,28.76,MEDIUM,1344,64,1408,128,64,64,   3,1.00,0.20,0.0332
50,2,23,40.16,MEDIUM,1408,64,1472,128,64,64,   2,1.00,0.20,0.0460
65,3,11,32.01,MEDIUM,640,128,704,192,64,64,   2,1.00,0.20,0.0359
66,3,12,82.76,HIGH,704,128,768,192,64,64,   2,1.00,1.00,0.4297
67,3,13,94.56,HIGH,768,128,832,192,64,64, 313,1.00,1.00,0.8371
68,3,14,25.78,MEDIUM,832,128,896,192,64,64,   8,1.00,0.20,0.0580
75,3,21,15.82,MEDIUM,1280,128,1344,192,64,64,   0,1.00,0.20,0.0022
76,3,22,32.79,MEDIUM,1344,128,1408,192,64,64,   0,1.00,0.20,0.0071
77,3,23,64.48,MEDIUM,1408,128,1472,192,64,64,   3,1.00,0.20,0.1736
91,4,10,59.30,MEDIUM,576,192,640,256,64,64,  17,1.00,0.20,0.3446
92,4,11,99.05,HIGH,640,192,704,256,64,64,   5,1.00,1.00,0.6299
93,4,12,98.73,HIGH,704,192,768,256,64,64,   3,1.00,1.00,0.5688
94,4,13,83.57,HIGH,768,192,832,256,64,64,   3,1.00,1.00,0.5049
104,4,23,54.64,MEDIUM,1408,192,1472,256,64,64,   0,1.00,0.20,0.0069
105,4,24,31.93,MEDIUM,1472,192,1536,256,64,64,   1,1.00,0.20,0.0226
117,5,9,29.30,MEDIUM,512,256,576,320,64,64,  15,1.00,0.20,0.1053
118,5,10,99.54,HIGH,576,256,640,320,64,64,  30,1.00,1.00,0.7724
119,5,11,99.78,HIGH,640,256,704,320,64,64,  19,1.00,1.00,0.7477
120,5,12,99.41,HIGH,704,256,768,320,64,64,   8,1.00,1.00,0.6846
121,5,13,85.30,HIGH,768,256,832,320,64,64,   2,1.00,1.00,0.4749
131,5,23,69.56,MEDIUM,1408,256,1472,320,64,64,   2,1.00,0.20,0.1291
132,5,24,55.13,MEDIUM,1472,256,1536,320,64,64,   2,1.00,0.20,0.0941
133,5,25,15.26,MEDIUM,1536,256,1600,320,64,64,   0,1.00,0.20,0.0000
144,6,9,84.91,HIGH,512,320,576,384,64,64,  32,1.00,1.00,0.7151
145,6,10,99.68,HIGH,576,320,640,384,64,64,  50,1.00,1.00,0.7961
146,6,11,99.61,HIGH,640,320,704,384,64,64,  52,1.00,1.00,0.7979
147,6,12,99.10,HIGH,704,320,768,384,64,64,   7,1.00,1.00,0.6750
148,6,13,94.41,HIGH,768,320,832,384,64,64,   9,1.00,1.00,0.6742
156,6,21,20.36,MEDIUM,1280,320,1344,384,64,64,   3,1.00,0.20,0.0186
159,6,24,16.41,MEDIUM,1472,320,1536,384,64,64,   1,1.00,0.20,0.0060
170,7,8,33.79,MEDIUM,448,384,512,448,64,64,  59,1.00,0.20,0.2258
171,7,9,92.46,HIGH,512,384,576,448,64,64,  48,1.00,1.00,0.7689
172,7,10,97.19,HIGH,576,384,640,448,64,64,  55,1.00,1.00,0.7916
173,7,11,99.63,HIGH,640,384,704,448,64,64,  70,1.00,1.00,0.8090
174,7,12,98.95,HIGH,704,384,768,448,64,64,   6,1.00,1.00,0.6615
175,7,13,73.85,MEDIUM,768,384,832,448,64,64,  10,1.00,0.20,0.3806
197,8,8,42.65,MEDIUM,448,448,512,512,64,64,  57,1.00,0.20,0.3146
198,8,9,98.97,HIGH,512,448,576,512,64,64,  55,1.00,1.00,0.7976
199,8,10,99.56,HIGH,576,448,640,512,64,64,  76,1.00,1.00,0.8113
200,8,11,99.73,HIGH,640,448,704,512,64,64,  40,1.00,1.00,0.7871
201,8,12,99.07,HIGH,704,448,768,512,64,64,   6,1.00,1.00,0.6545
202,8,13,59.67,MEDIUM,768,448,832,512,64,64,  34,1.00,0.20,0.4213
225,9,9,81.01,HIGH,512,512,576,576,64,64,  55,1.00,1.00,0.7257
226,9,10,99.49,HIGH,576,512,640,576,64,64,  70,1.00,1.00,0.8082
