Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2712x5720
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2712x5720
Scaled Tile Size: 64x64
Total Mask: 74.83%, Total Tissue: 25.17%
Tiles: 43x90 = 3870
   245 ( 6.33%) tiles >=80% tissue
  1253 (32.38%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
60,2,17,26.32,MEDIUM,1024,64,1088,128,64,64, 526,1.00,0.20,0.2442
107,3,21,13.99,MEDIUM,1280,128,1344,192,64,64,1114,1.00,0.20,0.0957
114,3,28,60.55,MEDIUM,1728,128,1792,192,64,64,1307,1.00,0.20,0.6713
115,3,29,50.00,MEDIUM,1792,128,1856,192,64,64, 946,1.00,0.20,0.5675
153,4,24,15.65,MEDIUM,1472,192,1536,256,64,64,1006,1.00,0.20,0.1151
157,4,28,32.03,MEDIUM,1728,192,1792,256,64,64,2729,1.00,0.20,0.3928
158,4,29,20.43,MEDIUM,1792,192,1856,256,64,64,4876,1.00,0.20,0.2233
196,5,24,27.27,MEDIUM,1472,256,1536,320,64,64,1452,1.00,0.20,0.2968
250,6,35,13.21,MEDIUM,2176,320,2240,384,64,64,5792,1.00,0.20,0.1096
253,6,38,20.80,MEDIUM,2368,320,2432,384,64,64,1791,1.00,0.20,0.2029
296,7,38,15.48,MEDIUM,2368,384,2432,448,64,64,  38,1.00,0.20,0.0489
339,8,38,16.82,MEDIUM,2368,448,2432,512,64,64, 792,1.00,0.20,0.1255
349,9,5,17.58,MEDIUM,256,512,320,576,64,64, 178,1.00,0.20,0.1001
392,10,5,19.29,MEDIUM,256,576,320,640,64,64, 221,1.00,0.20,0.1242
475,12,2,15.70,MEDIUM,64,704,128,768,64,64, 795,1.00,0.20,0.1112
518,13,2,21.83,MEDIUM,64,768,128,832,64,64, 575,1.00,0.20,0.1847
662,16,17,58.08,MEDIUM,1024,960,1088,1024,64,64,  27,1.00,0.20,0.3848
663,16,18,76.34,MEDIUM,1088,960,1152,1024,64,64,1733,1.00,0.20,0.7733
704,17,16,54.10,MEDIUM,960,1024,1024,1088,64,64, 129,1.00,0.20,0.4906
705,17,17,83.52,HIGH,1024,1024,1088,1088,64,64, 694,1.00,1.00,0.8203
706,17,18,92.41,HIGH,1088,1024,1152,1088,64,64,  74,1.00,1.00,0.7868
707,17,19,55.81,MEDIUM,1152,1024,1216,1088,64,64,1335,1.00,0.20,0.6352
746,18,15,52.44,MEDIUM,896,1088,960,1152,64,64,  62,1.00,0.20,0.4168
747,18,16,48.44,MEDIUM,960,1088,1024,1152,64,64,7726,1.00,0.20,0.6327
748,18,17,70.02,MEDIUM,1024,1088,1088,1152,64,64, 739,1.00,0.20,0.7104
749,18,18,83.28,HIGH,1088,1088,1152,1152,64,64,  37,1.00,1.00,0.7158
750,18,19,84.28,HIGH,1152,1088,1216,1152,64,64, 415,1.00,1.00,0.8107
