Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3856x7968
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3856x7968
Scaled Tile Size: 64x64
Total Mask: 98.30%, Total Tissue: 1.70%
Tiles: 61x125 = 7625
     4 ( 0.05%) tiles >=80% tissue
   283 ( 3.71%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1279,21,59,33.42,MEDIUM,3712,1280,3776,1344,64,64,   0,1.00,0.20,0.0000
1413,24,10,14.92,MEDIUM,576,1472,640,1536,64,64,   0,1.00,0.20,0.0000
1474,25,10,58.59,MEDIUM,576,1536,640,1600,64,64,  10,1.00,0.20,0.2726
1475,25,11,46.26,MEDIUM,640,1536,704,1600,64,64,   0,1.00,0.20,0.0199
1501,25,37,58.23,MEDIUM,2304,1536,2368,1600,64,64,   1,1.00,0.20,0.0350
1502,25,38,66.16,MEDIUM,2368,1536,2432,1600,64,64,   1,1.00,0.20,0.0880
1534,26,9,15.19,MEDIUM,512,1600,576,1664,64,64,   0,1.00,0.20,0.0000
1535,26,10,17.77,MEDIUM,576,1600,640,1664,64,64, 557,1.00,0.20,0.1298
1562,26,37,29.69,MEDIUM,2304,1600,2368,1664,64,64,   1,1.00,0.20,0.0127
1563,26,38,61.87,MEDIUM,2368,1600,2432,1664,64,64,   1,1.00,0.20,0.0678
1564,26,39,22.63,MEDIUM,2432,1600,2496,1664,64,64,   1,1.00,0.20,0.0123
1583,26,58,21.48,MEDIUM,3648,1600,3712,1664,64,64,   0,1.00,0.20,0.0000
1624,27,38,13.43,MEDIUM,2368,1664,2432,1728,64,64,   0,1.00,0.20,0.0000
1644,27,58,28.10,MEDIUM,3648,1664,3712,1728,64,64,   0,1.00,0.20,0.0000
1671,28,24,18.46,MEDIUM,1472,1728,1536,1792,64,64,  72,1.00,0.20,0.0852
1705,28,58,37.57,MEDIUM,3648,1728,3712,1792,64,64,   0,1.00,0.20,0.0000
1750,29,42,41.87,MEDIUM,2624,1792,2688,1856,64,64,   1,1.00,0.20,0.0227
1751,29,43,18.14,MEDIUM,2688,1792,2752,1856,64,64,   0,1.00,0.20,0.0000
1810,30,41,57.10,MEDIUM,2560,1856,2624,1920,64,64,   1,1.00,0.20,0.0521
1811,30,42,38.53,MEDIUM,2624,1856,2688,1920,64,64,   0,1.00,0.20,0.0031
1812,30,43,19.04,MEDIUM,2688,1856,2752,1920,64,64,   3,1.00,0.20,0.0167
1827,30,58,30.62,MEDIUM,3648,1856,3712,1920,64,64,   0,1.00,0.20,0.0000
1870,31,40,43.46,MEDIUM,2496,1920,2560,1984,64,64,   1,1.00,0.20,0.0304
1871,31,41,68.65,MEDIUM,2560,1920,2624,1984,64,64,   2,1.00,0.20,0.1416
1872,31,42,65.04,MEDIUM,2624,1920,2688,1984,64,64,   1,1.00,0.20,0.0629
1888,31,58,38.99,MEDIUM,3648,1920,3712,1984,64,64,   0,1.00,0.20,0.0000
1931,32,40,60.06,MEDIUM,2496,1984,2560,2048,64,64,   3,1.00,0.20,0.1363
1932,32,41,76.00,MEDIUM,2560,1984,2624,2048,64,64,   1,1.00,0.20,0.0809
1933,32,42,85.77,HIGH,2624,1984,2688,2048,64,64,   2,1.00,1.00,0.4298
1934,32,43,28.37,MEDIUM,2688,1984,2752,2048,64,64,   0,1.00,0.20,0.0032
1984,33,32,28.12,MEDIUM,1984,2048,2048,2112,64,64,   0,1.00,0.20,0.0002
1992,33,40,50.20,MEDIUM,2496,2048,2560,2112,64,64,   0,1.00,0.20,0.0000
1993,33,41,74.58,MEDIUM,2560,2048,2624,2112,64,64,   2,1.00,0.20,0.1670
1994,33,42,79.47,MEDIUM,2624,2048,2688,2112,64,64,   2,1.00,0.20,0.1781
1995,33,43,51.49,MEDIUM,2688,2048,2752,2112,64,64,   2,1.00,0.20,0.0669
2045,34,32,36.69,MEDIUM,1984,2112,2048,2176,64,64,   1,1.00,0.20,0.0268
2053,34,40,29.76,MEDIUM,2496,2112,2560,2176,64,64,   0,1.00,0.20,0.0075
2054,34,41,60.69,MEDIUM,2560,2112,2624,2176,64,64,   2,1.00,0.20,0.0968
2055,34,42,40.84,MEDIUM,2624,2112,2688,2176,64,64,   1,1.00,0.20,0.0411
2056,34,43,64.70,MEDIUM,2688,2112,2752,2176,64,64,   1,1.00,0.20,0.0822
2113,35,39,25.63,MEDIUM,2432,2176,2496,2240,64,64,   0,1.00,0.20,0.0004
2114,35,40,43.63,MEDIUM,2496,2176,2560,2240,64,64,   0,1.00,0.20,0.0000
2115,35,41,33.18,MEDIUM,2560,2176,2624,2240,64,64,   1,1.00,0.20,0.0114
2116,35,42,26.46,MEDIUM,2624,2176,2688,2240,64,64,   4,1.00,0.20,0.0360
2117,35,43,67.68,MEDIUM,2688,2176,2752,2240,64,64,   1,1.00,0.20,0.1048
2174,36,39,31.35,MEDIUM,2432,2240,2496,2304,64,64,   0,1.00,0.20,0.0000
2175,36,40,41.28,MEDIUM,2496,2240,2560,2304,64,64,   0,1.00,0.20,0.0000
2176,36,41,52.32,MEDIUM,2560,2240,2624,2304,64,64,   4,1.00,0.20,0.1347
2177,36,42,62.55,MEDIUM,2624,2240,2688,2304,64,64,   4,1.00,0.20,0.1862
2178,36,43,59.01,MEDIUM,2688,2240,2752,2304,64,64,   1,1.00,0.20,0.0525
2236,37,40,32.08,MEDIUM,2496,2304,2560,2368,64,64,   0,1.00,0.20,0.0000
2237,37,41,71.24,MEDIUM,2560,2304,2624,2368,64,64,   5,1.00,0.20,0.2476
2238,37,42,87.72,HIGH,2624,2304,2688,2368,64,64,   0,1.00,1.00,0.2377
2239,37,43,19.04,MEDIUM,2688,2304,2752,2368,64,64,   2,1.00,0.20,0.0106
2255,37,59,36.18,MEDIUM,3712,2304,3776,2368,64,64,   0,1.00,0.20,0.0000
2296,38,39,20.70,MEDIUM,2432,2368,2496,2432,64,64,   0,1.00,0.20,0.0000
2297,38,40,46.09,MEDIUM,2496,2368,2560,2432,64,64,   0,1.00,0.20,0.0140
2298,38,41,75.17,MEDIUM,2560,2368,2624,2432,64,64,   5,1.00,0.20,0.2783
2299,38,42,60.69,MEDIUM,2624,2368,2688,2432,64,64,   1,1.00,0.20,0.0793
2355,39,37,23.63,MEDIUM,2304,2432,2368,2496,64,64,   0,1.00,0.20,0.0000
2356,39,38,27.66,MEDIUM,2368,2432,2432,2496,64,64,   2,1.00,0.20,0.0208
2357,39,39,53.20,MEDIUM,2432,2432,2496,2496,64,64,   2,1.00,0.20,0.0695
2358,39,40,69.97,MEDIUM,2496,2432,2560,2496,64,64,   1,1.00,0.20,0.0700
2359,39,41,71.48,MEDIUM,2560,2432,2624,2496,64,64,   2,1.00,0.20,0.1236
2413,40,34,32.01,MEDIUM,2112,2496,2176,2560,64,64,   0,1.00,0.20,0.0007
2415,40,36,34.03,MEDIUM,2240,2496,2304,2560,64,64,  20,1.00,0.20,0.1555
2416,40,37,32.91,MEDIUM,2304,2496,2368,2560,64,64,   1,1.00,0.20,0.0186
2417,40,38,45.78,MEDIUM,2368,2496,2432,2560,64,64,   1,1.00,0.20,0.0226
2418,40,39,60.57,MEDIUM,2432,2496,2496,2560,64,64,   1,1.00,0.20,0.0634
2419,40,40,60.79,MEDIUM,2496,2496,2560,2560,64,64,   0,1.00,0.20,0.0183
2420,40,41,18.46,MEDIUM,2560,2496,2624,2560,64,64,   1,1.00,0.20,0.0056
2439,40,60,30.32,MEDIUM,3776,2496,3840,2560,64,64,   0,1.00,0.20,0.0000
2449,41,9,20.43,MEDIUM,512,2560,576,2624,64,64,   0,1.00,0.20,0.0028
2450,41,10,23.61,MEDIUM,576,2560,640,2624,64,64,   0,1.00,0.20,0.0000
2475,41,35,35.62,MEDIUM,2176,2560,2240,2624,64,64,  14,1.00,0.20,0.1458
2476,41,36,45.12,MEDIUM,2240,2560,2304,2624,64,64,   0,1.00,0.20,0.0089
2477,41,37,37.16,MEDIUM,2304,2560,2368,2624,64,64,   0,1.00,0.20,0.0119
2478,41,38,26.54,MEDIUM,2368,2560,2432,2624,64,64,   0,1.00,0.20,0.0014
