Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1536x3104
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 1536x3104
Scaled Tile Size: 64x64
Total Mask: 81.24%, Total Tissue: 18.76%
Tiles: 24x49 = 1176
   153 (13.01%) tiles >=80% tissue
   145 (12.33%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
38,2,14,22.68,MEDIUM,832,64,896,128,64,64,   6,1.00,0.20,0.0368
39,2,15,48.68,MEDIUM,896,64,960,128,64,64,   4,1.00,0.20,0.1290
40,2,16,25.46,MEDIUM,960,64,1024,128,64,64,   4,1.00,0.20,0.0358
54,3,6,18.24,MEDIUM,320,128,384,192,64,64,   0,0.49,0.20,0.0000
57,3,9,22.02,MEDIUM,512,128,576,192,64,64,   0,1.00,0.20,0.0000
58,3,10,18.16,MEDIUM,576,128,640,192,64,64,   0,1.00,0.20,0.0000
59,3,11,37.01,MEDIUM,640,128,704,192,64,64,   0,1.00,0.20,0.0000
60,3,12,45.04,MEDIUM,704,128,768,192,64,64,   0,1.00,0.20,0.0061
61,3,13,29.74,MEDIUM,768,128,832,192,64,64,   0,1.00,0.20,0.0000
62,3,14,64.43,MEDIUM,832,128,896,192,64,64,   4,1.00,0.20,0.1967
63,3,15,76.56,MEDIUM,896,128,960,192,64,64,  17,1.00,0.20,0.4681
64,3,16,69.02,MEDIUM,960,128,1024,192,64,64,  27,1.00,0.20,0.4704
65,3,17,55.18,MEDIUM,1024,128,1088,192,64,64,   4,1.00,0.20,0.1462
80,4,8,17.19,MEDIUM,448,192,512,256,64,64,   1,1.00,0.20,0.0070
84,4,12,35.86,MEDIUM,704,192,768,256,64,64,   0,1.00,0.20,0.0050
85,4,13,72.85,MEDIUM,768,192,832,256,64,64,   5,1.00,0.20,0.2782
86,4,14,75.24,MEDIUM,832,192,896,256,64,64,   4,1.00,0.20,0.2332
87,4,15,69.60,MEDIUM,896,192,960,256,64,64,   4,1.00,0.20,0.2241
88,4,16,90.01,HIGH,960,192,1024,256,64,64,  21,0.49,1.00,0.6640
89,4,17,56.59,MEDIUM,1024,192,1088,256,64,64,  14,1.00,0.20,0.3030
103,5,7,46.07,MEDIUM,384,256,448,320,64,64,   0,1.00,0.20,0.0177
104,5,8,13.60,MEDIUM,448,256,512,320,64,64,   0,1.00,0.20,0.0000
107,5,11,17.07,MEDIUM,640,256,704,320,64,64,   0,1.00,0.20,0.0000
108,5,12,57.57,MEDIUM,704,256,768,320,64,64,   7,1.00,0.20,0.2175
109,5,13,81.13,HIGH,768,256,832,320,64,64,   5,1.00,1.00,0.5355
110,5,14,86.25,HIGH,832,256,896,320,64,64,   3,1.00,1.00,0.4918
111,5,15,84.99,HIGH,896,256,960,320,64,64,   5,1.00,1.00,0.5718
112,5,16,53.39,MEDIUM,960,256,1024,320,64,64,   8,1.00,0.20,0.2111
127,6,7,33.23,MEDIUM,384,320,448,384,64,64,   0,1.00,0.20,0.0073
131,6,11,15.21,MEDIUM,640,320,704,384,64,64,   0,0.49,0.20,0.0000
132,6,12,62.30,MEDIUM,704,320,768,384,64,64,   4,1.00,0.20,0.1710
133,6,13,77.08,MEDIUM,768,320,832,384,64,64,   2,1.00,0.20,0.1664
134,6,14,92.41,HIGH,832,320,896,384,64,64,   3,1.00,1.00,0.5491
135,6,15,85.69,HIGH,896,320,960,384,64,64,   7,1.00,1.00,0.6089
136,6,16,14.87,MEDIUM,960,320,1024,384,64,64,  10,1.00,0.20,0.0239
148,7,4,34.57,MEDIUM,192,384,256,448,64,64,   0,1.00,0.20,0.0031
155,7,11,59.18,MEDIUM,640,384,704,448,64,64,   4,1.00,0.20,0.1835
156,7,12,87.99,HIGH,704,384,768,448,64,64,   6,1.00,1.00,0.5995
157,7,13,92.70,HIGH,768,384,832,448,64,64,   4,1.00,1.00,0.5647
158,7,14,77.69,MEDIUM,832,384,896,448,64,64,  12,1.00,0.20,0.4248
159,7,15,29.15,MEDIUM,896,384,960,448,64,64,  14,1.00,0.20,0.1017
172,8,4,19.36,MEDIUM,192,448,256,512,64,64,   0,1.00,0.20,0.0000
178,8,10,17.38,MEDIUM,576,448,640,512,64,64,   0,0.49,0.20,0.0000
179,8,11,68.68,MEDIUM,640,448,704,512,64,64,   4,1.00,0.20,0.2051
180,8,12,77.05,MEDIUM,704,448,768,512,64,64,  16,1.00,0.20,0.4587
181,8,13,90.62,HIGH,768,448,832,512,64,64,  10,1.00,1.00,0.6657
182,8,14,44.09,MEDIUM,832,448,896,512,64,64,  26,1.00,0.20,0.2632
202,9,10,58.11,MEDIUM,576,512,640,576,64,64,   7,1.00,0.20,0.2210
203,9,11,82.67,HIGH,640,512,704,576,64,64,   2,1.00,1.00,0.4314
204,9,12,89.48,HIGH,704,512,768,576,64,64,  10,1.00,1.00,0.6537
205,9,13,91.82,HIGH,768,512,832,576,64,64,  13,1.00,1.00,0.6906
