Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5544x12696
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 5544x12696
Scaled Tile Size: 64x64
Total Mask: 98.22%, Total Tissue: 1.78%
Tiles: 87x199 = 17313
    83 ( 0.48%) tiles >=80% tissue
   531 ( 3.07%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
29,1,29,86.60,HIGH,1792,0,1856,64,64,64,   1,1.00,1.00,0.3929
30,1,30,99.73,HIGH,1856,0,1920,64,64,64,   3,1.00,1.00,0.5930
31,1,31,98.56,HIGH,1920,0,1984,64,64,64,   2,1.00,1.00,0.5009
32,1,32,97.78,HIGH,1984,0,2048,64,64,64,  12,1.00,1.00,0.7133
33,1,33,71.04,MEDIUM,2048,0,2112,64,64,64,   6,1.00,0.20,0.2808
34,1,34,60.94,MEDIUM,2112,0,2176,64,64,64,   2,1.00,0.20,0.1048
35,1,35,61.08,MEDIUM,2176,0,2240,64,64,64,   3,0.49,0.20,0.0808
36,1,36,74.07,MEDIUM,2240,0,2304,64,64,64,   1,0.49,0.20,0.0676
37,1,37,88.35,HIGH,2304,0,2368,64,64,64,   5,1.00,1.00,0.5829
38,1,38,30.30,MEDIUM,2368,0,2432,64,64,64,  17,1.00,0.20,0.1196
39,1,39,32.32,MEDIUM,2432,0,2496,64,64,64,   0,0.49,0.20,0.0000
40,1,40,60.16,MEDIUM,2496,0,2560,64,64,64,   1,0.49,0.20,0.0291
41,1,41,84.13,HIGH,2560,0,2624,64,64,64,   0,0.49,1.00,0.0000
50,1,50,23.54,MEDIUM,3136,0,3200,64,64,64,  41,1.00,0.20,0.1090
55,1,55,45.73,MEDIUM,3456,0,3520,64,64,64,   5,1.00,0.20,0.1319
56,1,56,96.83,HIGH,3520,0,3584,64,64,64,   5,0.49,1.00,0.5294
57,1,57,25.46,MEDIUM,3584,0,3648,64,64,64,   0,0.49,0.20,0.0000
115,2,28,33.06,MEDIUM,1728,64,1792,128,64,64,  11,1.00,0.20,0.1122
116,2,29,75.22,MEDIUM,1792,64,1856,128,64,64,   5,1.00,0.20,0.2668
117,2,30,99.29,HIGH,1856,64,1920,128,64,64,  30,1.00,1.00,0.7718
118,2,31,99.63,HIGH,1920,64,1984,128,64,64,  58,0.49,1.00,0.7704
119,2,32,99.71,HIGH,1984,64,2048,128,64,64,  41,1.00,1.00,0.7878
120,2,33,99.78,HIGH,2048,64,2112,128,64,64,   4,1.00,1.00,0.6084
121,2,34,76.46,MEDIUM,2112,64,2176,128,64,64,   5,1.00,0.20,0.2918
122,2,35,22.95,MEDIUM,2176,64,2240,128,64,64,  10,0.49,0.20,0.0357
123,2,36,65.53,MEDIUM,2240,64,2304,128,64,64,   2,0.49,0.20,0.0619
124,2,37,93.43,HIGH,2304,64,2368,128,64,64,   4,1.00,1.00,0.5864
127,2,40,62.06,MEDIUM,2496,64,2560,128,64,64,  19,1.00,0.20,0.3785
128,2,41,83.69,HIGH,2560,64,2624,128,64,64,   0,0.49,1.00,0.0000
129,2,42,26.27,MEDIUM,2624,64,2688,128,64,64,   1,1.00,0.20,0.0078
142,2,55,39.87,MEDIUM,3456,64,3520,128,64,64,   1,1.00,0.20,0.0177
143,2,56,93.75,HIGH,3520,64,3584,128,64,64,   0,0.49,1.00,0.1237
204,3,30,26.20,MEDIUM,1856,128,1920,192,64,64,  52,1.00,0.20,0.1430
205,3,31,73.07,MEDIUM,1920,128,1984,192,64,64,  89,1.00,0.20,0.6104
206,3,32,98.93,HIGH,1984,128,2048,192,64,64,  82,1.00,1.00,0.8122
207,3,33,71.34,MEDIUM,2048,128,2112,192,64,64,  15,1.00,0.20,0.4123
208,3,34,48.12,MEDIUM,2112,128,2176,192,64,64,  86,1.00,0.20,0.4019
211,3,37,16.21,MEDIUM,2304,128,2368,192,64,64,   0,0.49,0.20,0.0000
214,3,40,42.87,MEDIUM,2496,128,2560,192,64,64,  59,1.00,0.20,0.3184
215,3,41,15.87,MEDIUM,2560,128,2624,192,64,64,   0,0.49,0.20,0.0000
216,3,42,16.38,MEDIUM,2624,128,2688,192,64,64,   7,1.00,0.20,0.0228
230,3,56,20.36,MEDIUM,3520,128,3584,192,64,64,  20,1.00,0.20,0.0626
293,4,32,22.02,MEDIUM,1984,192,2048,256,64,64, 444,1.00,0.20,0.1791
294,4,33,42.58,MEDIUM,2048,192,2112,256,64,64, 745,1.00,0.20,0.4760
296,4,35,27.20,MEDIUM,2176,192,2240,256,64,64,1019,1.00,0.20,0.2825
384,5,36,14.36,MEDIUM,2240,256,2304,320,64,64, 947,1.00,0.20,0.0976
385,5,37,13.23,MEDIUM,2304,256,2368,320,64,64, 720,1.00,0.20,0.0802
1251,15,33,31.35,MEDIUM,2048,896,2112,960,64,64,1394,1.00,0.20,0.3564
1338,16,33,39.14,MEDIUM,2048,960,2112,1024,64,64,2448,1.00,0.20,0.4869
1339,16,34,36.89,MEDIUM,2112,960,2176,1024,64,64,1581,1.00,0.20,0.4394
1425,17,33,27.25,MEDIUM,2048,1024,2112,1088,64,64, 343,1.00,0.20,0.2395
1426,17,34,85.69,HIGH,2112,1024,2176,1088,64,64, 689,1.00,1.00,0.8276
1512,18,33,41.19,MEDIUM,2048,1088,2112,1152,64,64, 139,1.00,0.20,0.3629
1513,18,34,100.00,HIGH,2112,1088,2176,1152,64,64, 199,0.16,1.00,0.7773
1514,18,35,85.30,HIGH,2176,1088,2240,1152,64,64, 359,1.00,1.00,0.8107
1515,18,36,21.83,MEDIUM,2240,1088,2304,1152,64,64, 142,1.00,0.20,0.1387
1529,18,50,46.56,MEDIUM,3136,1088,3200,1152,64,64, 498,1.00,0.20,0.4999
1530,18,51,47.49,MEDIUM,3200,1088,3264,1152,64,64, 558,1.00,0.20,0.5158
1599,19,33,33.64,MEDIUM,2048,1152,2112,1216,64,64,  10,1.00,0.20,0.1097
1600,19,34,100.00,HIGH,2112,1152,2176,1216,64,64,   3,0.16,1.00,0.2963
1601,19,35,90.21,HIGH,2176,1152,2240,1216,64,64, 231,1.00,1.00,0.8159
