Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 1536x1760
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 1536x1760
Scaled Tile Size: 64x64
Total Mask: 87.11%, Total Tissue: 12.89%
Tiles: 24x28 = 672
    45 ( 6.70%) tiles >=80% tissue
    95 (14.14%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
30,2,6,18.68,MEDIUM,320,64,384,128,64,64,2991,1.00,0.20,0.1824
55,3,7,15.21,MEDIUM,384,128,448,192,64,64,3852,0.49,0.20,0.1207
56,3,8,38.67,MEDIUM,448,128,512,192,64,64,2201,1.00,0.20,0.4766
64,3,16,39.01,MEDIUM,960,128,1024,192,64,64,1126,1.00,0.20,0.4521
65,3,17,56.08,MEDIUM,1024,128,1088,192,64,64,1072,1.00,0.20,0.6282
66,3,18,27.44,MEDIUM,1088,128,1152,192,64,64, 678,1.00,0.20,0.2702
80,4,8,29.52,MEDIUM,448,192,512,256,64,64,12708,1.00,0.20,0.4059
81,4,9,31.20,MEDIUM,512,192,576,256,64,64,5199,1.00,0.20,0.4035
87,4,15,56.20,MEDIUM,896,192,960,256,64,64,2430,1.00,0.20,0.6615
88,4,16,90.62,HIGH,960,192,1024,256,64,64,4060,0.49,1.00,0.8619
89,4,17,40.16,MEDIUM,1024,192,1088,256,64,64,1676,0.49,0.20,0.4517
105,5,9,47.83,MEDIUM,512,256,576,320,64,64,4855,1.00,0.20,0.6114
106,5,10,77.17,MEDIUM,576,256,640,320,64,64,2262,1.00,0.20,0.7846
107,5,11,56.98,MEDIUM,640,256,704,320,64,64, 735,1.00,0.20,0.6187
110,5,14,50.59,MEDIUM,832,256,896,320,64,64,1123,1.00,0.20,0.5810
111,5,15,91.24,HIGH,896,256,960,320,64,64,4213,0.49,1.00,0.8640
112,5,16,76.56,MEDIUM,960,256,1024,320,64,64,2470,0.49,0.20,0.7630
129,6,9,68.36,MEDIUM,512,320,576,384,64,64,3207,1.00,0.20,0.7513
130,6,10,95.75,HIGH,576,320,640,384,64,64,5354,0.49,1.00,0.8783
