Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2048x3328
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2048x3328
Scaled Tile Size: 64x64
Total Mask: 75.82%, Total Tissue: 24.18%
Tiles: 32x52 = 1664
   247 (14.84%) tiles >=80% tissue
   313 (18.81%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
75,3,11,47.09,MEDIUM,640,128,704,192,64,64,  31,1.00,0.20,0.3048
76,3,12,36.62,MEDIUM,704,128,768,192,64,64,   2,1.00,0.20,0.0404
86,3,22,17.50,MEDIUM,1344,128,1408,192,64,64,   0,1.00,0.20,0.0000
87,3,23,39.87,MEDIUM,1408,128,1472,192,64,64,   1,1.00,0.20,0.0191
88,3,24,19.26,MEDIUM,1472,128,1536,192,64,64,   0,1.00,0.20,0.0000
107,4,11,64.16,MEDIUM,640,192,704,256,64,64, 135,1.00,0.20,0.5785
108,4,12,92.87,HIGH,704,192,768,256,64,64,   1,1.00,1.00,0.3860
109,4,13,19.02,MEDIUM,768,192,832,256,64,64,   1,1.00,0.20,0.0045
118,4,22,34.69,MEDIUM,1344,192,1408,256,64,64,   3,1.00,0.20,0.0531
119,4,23,46.61,MEDIUM,1408,192,1472,256,64,64,   0,1.00,0.20,0.0000
120,4,24,73.71,MEDIUM,1472,192,1536,256,64,64,   2,1.00,0.20,0.1390
121,4,25,67.55,MEDIUM,1536,192,1600,256,64,64,   0,1.00,0.20,0.0051
122,4,26,26.10,MEDIUM,1600,192,1664,256,64,64,   0,1.00,0.20,0.0001
136,5,8,14.82,MEDIUM,448,256,512,320,64,64, 156,1.00,0.20,0.0709
137,5,9,38.99,MEDIUM,512,256,576,320,64,64,  47,1.00,0.20,0.2619
138,5,10,48.68,MEDIUM,576,256,640,320,64,64,   0,1.00,0.20,0.0086
139,5,11,78.27,MEDIUM,640,256,704,320,64,64,   1,1.00,0.20,0.0678
140,5,12,95.97,HIGH,704,256,768,320,64,64,   0,1.00,1.00,0.1198
141,5,13,50.90,MEDIUM,768,256,832,320,64,64,   1,1.00,0.20,0.0298
148,5,20,15.36,MEDIUM,1216,256,1280,320,64,64,   4,1.00,0.20,0.0143
150,5,22,64.16,MEDIUM,1344,256,1408,320,64,64,   2,1.00,0.20,0.1306
151,5,23,57.67,MEDIUM,1408,256,1472,320,64,64,   0,1.00,0.20,0.0174
152,5,24,90.31,HIGH,1472,256,1536,320,64,64,   3,1.00,1.00,0.5098
153,5,25,93.65,HIGH,1536,256,1600,320,64,64,   3,1.00,1.00,0.5623
154,5,26,99.24,HIGH,1600,256,1664,320,64,64,   0,1.00,1.00,0.1477
155,5,27,89.75,HIGH,1664,256,1728,320,64,64,   0,1.00,1.00,0.0000
156,5,28,29.37,MEDIUM,1728,256,1792,320,64,64,   0,1.00,0.20,0.0072
167,6,7,18.51,MEDIUM,384,320,448,384,64,64,   0,1.00,0.20,0.0000
168,6,8,58.50,MEDIUM,448,320,512,384,64,64,   0,1.00,0.20,0.0000
169,6,9,63.43,MEDIUM,512,320,576,384,64,64,   0,1.00,0.20,0.0000
170,6,10,73.93,MEDIUM,576,320,640,384,64,64,   0,1.00,0.20,0.0000
171,6,11,85.86,HIGH,640,320,704,384,64,64,   0,1.00,1.00,0.1990
172,6,12,91.67,HIGH,704,320,768,384,64,64,   2,1.00,1.00,0.4936
173,6,13,81.10,HIGH,768,320,832,384,64,64,   1,1.00,1.00,0.3207
182,6,22,66.11,MEDIUM,1344,320,1408,384,64,64,   2,1.00,0.20,0.1199
183,6,23,78.15,MEDIUM,1408,320,1472,384,64,64,   0,1.00,0.20,0.0000
184,6,24,83.79,HIGH,1472,320,1536,384,64,64,   0,1.00,1.00,0.0392
185,6,25,92.85,HIGH,1536,320,1600,384,64,64,   2,1.00,1.00,0.4511
186,6,26,98.78,HIGH,1600,320,1664,384,64,64,   1,1.00,1.00,0.4409
