Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 5544x12696
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 5544x12696
Scaled Tile Size: 64x64
Total Mask: 95.66%, Total Tissue: 4.34%
Tiles: 87x199 = 17313
   400 ( 2.31%) tiles >=80% tissue
   849 ( 4.90%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
1782,21,42,21.44,MEDIUM,2624,1280,2688,1344,64,64,5247,1.00,0.20,0.2422
1882,22,55,28.03,MEDIUM,3456,1344,3520,1408,64,64,31967,1.00,0.20,0.4077
1969,23,55,31.64,MEDIUM,3456,1408,3520,1472,64,64,56681,1.00,0.20,0.4831
1970,23,56,32.13,MEDIUM,3520,1408,3584,1472,64,64,35599,1.00,0.20,0.4780
1971,23,57,47.34,MEDIUM,3584,1408,3648,1472,64,64,25562,1.00,0.20,0.6568
1972,23,58,24.27,MEDIUM,3648,1408,3712,1472,64,64,8435,1.00,0.20,0.3044
2028,24,27,20.58,MEDIUM,1664,1472,1728,1536,64,64,54618,1.00,0.20,0.2826
2029,24,28,30.42,MEDIUM,1728,1472,1792,1536,64,64,51628,1.00,0.20,0.4610
2043,24,42,28.64,MEDIUM,2624,1472,2688,1536,64,64,33153,1.00,0.20,0.4192
2056,24,55,22.92,MEDIUM,3456,1472,3520,1536,64,64,54453,1.00,0.20,0.3282
2057,24,56,55.08,MEDIUM,3520,1472,3584,1536,64,64,57040,1.00,0.20,0.7392
2058,24,57,65.23,MEDIUM,3584,1472,3648,1536,64,64,29074,1.00,0.20,0.7867
2059,24,58,51.90,MEDIUM,3648,1472,3712,1536,64,64,41374,1.00,0.20,0.7085
2060,24,59,50.29,MEDIUM,3712,1472,3776,1536,64,64,14528,1.00,0.20,0.6686
2061,24,60,18.16,MEDIUM,3776,1472,3840,1536,64,64,4085,1.00,0.20,0.1812
2131,25,43,30.47,MEDIUM,2688,1536,2752,1600,64,64,27735,1.00,0.20,0.4446
2143,25,55,14.77,MEDIUM,3456,1536,3520,1600,64,64,48084,1.00,0.20,0.1667
2144,25,56,69.07,MEDIUM,3520,1536,3584,1600,64,64,35135,1.00,0.20,0.8086
2145,25,57,80.15,HIGH,3584,1536,3648,1600,64,64,22146,1.00,1.00,0.8654
2146,25,58,83.23,HIGH,3648,1536,3712,1600,64,64,19037,1.00,1.00,0.8722
2147,25,59,84.30,HIGH,3712,1536,3776,1600,64,64,35770,1.00,1.00,0.8817
2148,25,60,76.54,MEDIUM,3776,1536,3840,1600,64,64,18979,1.00,0.20,0.8284
2149,25,61,22.73,MEDIUM,3840,1536,3904,1600,64,64,6188,1.00,0.20,0.2690
2218,26,43,30.47,MEDIUM,2688,1600,2752,1664,64,64,26987,1.00,0.20,0.4438
2219,26,44,59.30,MEDIUM,2752,1600,2816,1664,64,64,22642,1.00,0.20,0.7475
2220,26,45,56.05,MEDIUM,2816,1600,2880,1664,64,64,17405,1.00,0.20,0.7193
2221,26,46,27.29,MEDIUM,2880,1600,2944,1664,64,64,7593,1.00,0.20,0.3531
2231,26,56,32.30,MEDIUM,3520,1600,3584,1664,64,64,39749,1.00,0.20,0.4837
2232,26,57,51.49,MEDIUM,3584,1600,3648,1664,64,64,47752,1.00,0.20,0.7084
2233,26,58,73.93,MEDIUM,3648,1600,3712,1664,64,64,54428,1.00,0.20,0.8355
2234,26,59,76.66,MEDIUM,3712,1600,3776,1664,64,64,34684,1.00,0.20,0.8387
2235,26,60,69.60,MEDIUM,3776,1600,3840,1664,64,64,22464,1.00,0.20,0.8029
2236,26,61,62.13,MEDIUM,3840,1600,3904,1664,64,64,6640,1.00,0.20,0.7352
2306,27,44,59.25,MEDIUM,2752,1664,2816,1728,64,64,23460,1.00,0.20,0.7480
2307,27,45,82.47,HIGH,2816,1664,2880,1728,64,64,39999,1.00,1.00,0.8782
2308,27,46,70.39,MEDIUM,2880,1664,2944,1728,64,64,28577,1.00,0.20,0.8108
2309,27,47,29.42,MEDIUM,2944,1664,3008,1728,64,64,16558,1.00,0.20,0.4123
2319,27,57,48.49,MEDIUM,3584,1664,3648,1728,64,64,63554,1.00,0.20,0.6896
2320,27,58,82.57,HIGH,3648,1664,3712,1728,64,64,69936,1.00,1.00,0.8838
2321,27,59,85.38,HIGH,3712,1664,3776,1728,64,64,78337,1.00,1.00,0.8915
2322,27,60,79.03,MEDIUM,3776,1664,3840,1728,64,64,51299,1.00,0.20,0.8523
2323,27,61,43.82,MEDIUM,3840,1664,3904,1728,64,64,36198,1.00,0.20,0.6306
2324,27,62,33.20,MEDIUM,3904,1664,3968,1728,64,64,9020,1.00,0.20,0.4525
2381,28,32,48.02,MEDIUM,1984,1728,2048,1792,64,64,22433,1.00,0.20,0.6598
2382,28,33,15.82,MEDIUM,2048,1728,2112,1792,64,64,41312,1.00,0.20,0.1842
2392,28,43,17.19,MEDIUM,2688,1728,2752,1792,64,64,41865,1.00,0.20,0.2106
2393,28,44,65.82,MEDIUM,2752,1728,2816,1792,64,64,33742,1.00,0.20,0.7925
2394,28,45,69.14,MEDIUM,2816,1728,2880,1792,64,64,44267,1.00,0.20,0.8129
2395,28,46,73.36,MEDIUM,2880,1728,2944,1792,64,64,65821,1.00,0.20,0.8362
2396,28,47,77.83,MEDIUM,2944,1728,3008,1792,64,64,30677,1.00,0.20,0.8409
2406,28,57,60.40,MEDIUM,3584,1728,3648,1792,64,64,67533,1.00,0.20,0.7763
2407,28,58,93.46,HIGH,3648,1728,3712,1792,64,64,67817,1.00,1.00,0.9067
2408,28,59,91.58,HIGH,3712,1728,3776,1792,64,64,79325,1.00,1.00,0.9044
2409,28,60,89.62,HIGH,3776,1728,3840,1792,64,64,72029,1.00,1.00,0.8998
2410,28,61,84.84,HIGH,3840,1728,3904,1792,64,64,64303,1.00,1.00,0.8885
2411,28,62,81.40,HIGH,3904,1728,3968,1792,64,64,43622,1.00,1.00,0.8762
2412,28,63,30.47,MEDIUM,3968,1728,4032,1792,64,64,11203,1.00,0.20,0.4173
2469,29,33,29.49,MEDIUM,2048,1792,2112,1856,64,64,53867,1.00,0.20,0.4468
2479,29,43,46.34,MEDIUM,2688,1792,2752,1856,64,64,46295,1.00,0.20,0.6623
2480,29,44,82.13,HIGH,2752,1792,2816,1856,64,64,37757,1.00,1.00,0.8767
2481,29,45,85.35,HIGH,2816,1792,2880,1856,64,64,57972,1.00,1.00,0.8888
2482,29,46,87.23,HIGH,2880,1792,2944,1856,64,64,66380,1.00,1.00,0.8942
2483,29,47,82.15,HIGH,2944,1792,3008,1856,64,64,53314,1.00,1.00,0.8802
2484,29,48,32.47,MEDIUM,3008,1792,3072,1856,64,64,25895,1.00,0.20,0.4742
2493,29,57,71.75,MEDIUM,3584,1792,3648,1856,64,64,49156,1.00,0.20,0.8256
2494,29,58,81.54,HIGH,3648,1792,3712,1856,64,64,72672,1.00,1.00,0.8816
2495,29,59,90.92,HIGH,3712,1792,3776,1856,64,64,63502,1.00,1.00,0.9014
2496,29,60,93.16,HIGH,3776,1792,3840,1856,64,64,57631,1.00,1.00,0.9049
2497,29,61,92.55,HIGH,3840,1792,3904,1856,64,64,55575,1.00,1.00,0.9035
2498,29,62,90.11,HIGH,3904,1792,3968,1856,64,64,53622,1.00,1.00,0.8984
2499,29,63,78.86,MEDIUM,3968,1792,4032,1856,64,64,30651,1.00,0.20,0.8443
2556,30,33,29.37,MEDIUM,2048,1856,2112,1920,64,64,70599,1.00,0.20,0.4518
2565,30,42,18.04,MEDIUM,2624,1856,2688,1920,64,64,46431,1.00,0.20,0.2292
2566,30,43,79.44,MEDIUM,2688,1856,2752,1920,64,64,58461,1.00,0.20,0.8553
2567,30,44,93.77,HIGH,2752,1856,2816,1920,64,64,57608,1.00,1.00,0.9060
2568,30,45,95.46,HIGH,2816,1856,2880,1920,64,64,62690,1.00,1.00,0.9096
2569,30,46,94.73,HIGH,2880,1856,2944,1920,64,64,68407,1.00,1.00,0.9090
2570,30,47,90.28,HIGH,2944,1856,3008,1920,64,64,55949,1.00,1.00,0.8991
2571,30,48,43.41,MEDIUM,3008,1856,3072,1920,64,64,35771,1.00,0.20,0.6258
2572,30,49,39.45,MEDIUM,3072,1856,3136,1920,64,64,1488,1.00,0.20,0.4701
2580,30,57,74.00,MEDIUM,3584,1856,3648,1920,64,64,44184,1.00,0.20,0.8327
2581,30,58,83.59,HIGH,3648,1856,3712,1920,64,64,71762,1.00,1.00,0.8865
2582,30,59,88.99,HIGH,3712,1856,3776,1920,64,64,66105,1.00,1.00,0.8978
2583,30,60,95.19,HIGH,3776,1856,3840,1920,64,64,42988,1.00,1.00,0.9063
2584,30,61,91.75,HIGH,3840,1856,3904,1920,64,64,42302,1.00,1.00,0.8997
2585,30,62,94.48,HIGH,3904,1856,3968,1920,64,64,40390,1.00,1.00,0.9045
2586,30,63,87.96,HIGH,3968,1856,4032,1920,64,64,49201,1.00,1.00,0.8932
2587,30,64,33.59,MEDIUM,4032,1856,4096,1920,64,64,38473,1.00,0.20,0.5025
2643,31,33,29.69,MEDIUM,2048,1920,2112,1984,64,64,59156,1.00,0.20,0.4525
2652,31,42,17.02,MEDIUM,2624,1920,2688,1984,64,64,43441,1.00,0.20,0.2080
2653,31,43,89.48,HIGH,2688,1920,2752,1984,64,64,40184,1.00,1.00,0.8946
2654,31,44,95.56,HIGH,2752,1920,2816,1984,64,64,44862,1.00,1.00,0.9072
2655,31,45,92.55,HIGH,2816,1920,2880,1984,64,64,43958,1.00,1.00,0.9016
2656,31,46,89.72,HIGH,2880,1920,2944,1984,64,64,51484,1.00,1.00,0.8973
2657,31,47,87.52,HIGH,2944,1920,3008,1984,64,64,51641,1.00,1.00,0.8926
2658,31,48,76.68,MEDIUM,3008,1920,3072,1984,64,64,51143,1.00,0.20,0.8445
2659,31,49,39.40,MEDIUM,3072,1920,3136,1984,64,64,4716,1.00,0.20,0.5154
2665,31,55,21.61,MEDIUM,3456,1920,3520,1984,64,64,1392,1.00,0.20,0.2082
2667,31,57,78.08,MEDIUM,3584,1920,3648,1984,64,64,40319,1.00,0.20,0.8458
2668,31,58,72.78,MEDIUM,3648,1920,3712,1984,64,64,67360,1.00,0.20,0.8343
2669,31,59,78.96,MEDIUM,3712,1920,3776,1984,64,64,53132,1.00,0.20,0.8525
2670,31,60,89.04,HIGH,3776,1920,3840,1984,64,64,27396,1.00,1.00,0.8901
2671,31,61,88.31,HIGH,3840,1920,3904,1984,64,64,41120,1.00,1.00,0.8923
2672,31,62,87.65,HIGH,3904,1920,3968,1984,64,64,44106,1.00,1.00,0.8915
2673,31,63,90.26,HIGH,3968,1920,4032,1984,64,64,53513,1.00,1.00,0.8987
2674,31,64,50.61,MEDIUM,4032,1920,4096,1984,64,64,48753,1.00,0.20,0.7017
2731,32,34,48.80,MEDIUM,2112,1984,2176,2048,64,64,63700,1.00,0.20,0.6924
2739,32,42,46.17,MEDIUM,2624,1984,2688,2048,64,64,22377,1.00,0.20,0.6418
2740,32,43,92.14,HIGH,2688,1984,2752,2048,64,64,41478,1.00,1.00,0.9003
2741,32,44,94.29,HIGH,2752,1984,2816,2048,64,64,52224,1.00,1.00,0.9062
2742,32,45,95.73,HIGH,2816,1984,2880,2048,64,64,53260,1.00,1.00,0.9089
2743,32,46,93.26,HIGH,2880,1984,2944,2048,64,64,50183,1.00,1.00,0.9040
2744,32,47,96.04,HIGH,2944,1984,3008,2048,64,64,53255,1.00,1.00,0.9094
2745,32,48,91.80,HIGH,3008,1984,3072,2048,64,64,53492,1.00,1.00,0.9017
2746,32,49,66.53,MEDIUM,3072,1984,3136,2048,64,64,26931,1.00,0.20,0.7918
2754,32,57,33.35,MEDIUM,3584,1984,3648,2048,64,64,23495,1.00,0.20,0.4846
2755,32,58,57.50,MEDIUM,3648,1984,3712,2048,64,64,62025,1.00,0.20,0.7570
2756,32,59,70.83,MEDIUM,3712,1984,3776,2048,64,64,35958,1.00,0.20,0.8167
2757,32,60,81.88,HIGH,3776,1984,3840,2048,64,64,24367,1.00,1.00,0.8713
2758,32,61,88.48,HIGH,3840,1984,3904,2048,64,64,37450,1.00,1.00,0.8918
2759,32,62,93.43,HIGH,3904,1984,3968,2048,64,64,36593,1.00,1.00,0.9017
