Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 6480x3240
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 6480x3240
Scaled Tile Size: 64x64
Total Mask: 89.72%, Total Tissue: 10.28%
Tiles: 102x51 = 5202
   149 ( 2.86%) tiles >=80% tissue
   911 (17.51%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
198,2,96,40.38,MEDIUM,6080,64,6144,128,64,64,  53,1.00,0.20,0.2860
199,2,97,19.46,MEDIUM,6144,64,6208,128,64,64, 121,1.00,0.20,0.1088
200,2,98,40.97,MEDIUM,6208,64,6272,128,64,64, 310,1.00,0.20,0.4101
201,2,99,65.48,MEDIUM,6272,64,6336,128,64,64, 373,1.00,0.20,0.6497
202,2,100,48.61,MEDIUM,6336,64,6400,128,64,64, 333,1.00,0.20,0.4989
228,3,24,14.45,MEDIUM,1472,128,1536,192,64,64, 149,1.00,0.20,0.0668
229,3,25,34.20,MEDIUM,1536,128,1600,192,64,64, 302,1.00,0.20,0.3251
230,3,26,49.44,MEDIUM,1600,128,1664,192,64,64, 195,1.00,0.20,0.4743
231,3,27,61.16,MEDIUM,1664,128,1728,192,64,64,  65,1.00,0.20,0.4966
232,3,28,81.96,HIGH,1728,128,1792,192,64,64,  54,1.00,1.00,0.7289
233,3,29,83.11,HIGH,1792,128,1856,192,64,64,  85,1.00,1.00,0.7547
234,3,30,61.18,MEDIUM,1856,128,1920,192,64,64,  59,1.00,0.20,0.4884
235,3,31,55.71,MEDIUM,1920,128,1984,192,64,64,  83,1.00,0.20,0.4709
236,3,32,31.30,MEDIUM,1984,128,2048,192,64,64, 156,1.00,0.20,0.2539
237,3,33,16.89,MEDIUM,2048,128,2112,192,64,64,  70,1.00,0.20,0.0716
241,3,37,25.05,MEDIUM,2304,128,2368,192,64,64,  37,1.00,0.20,0.1180
242,3,38,19.31,MEDIUM,2368,128,2432,192,64,64,  38,1.00,0.20,0.0745
289,3,85,21.04,MEDIUM,5376,128,5440,192,64,64, 131,1.00,0.20,0.1277
290,3,86,44.29,MEDIUM,5440,128,5504,192,64,64,  85,1.00,0.20,0.3616
291,3,87,52.03,MEDIUM,5504,128,5568,192,64,64, 106,1.00,0.20,0.4560
292,3,88,49.19,MEDIUM,5568,128,5632,192,64,64, 143,1.00,0.20,0.4506
293,3,89,43.97,MEDIUM,5632,128,5696,192,64,64, 180,1.00,0.20,0.4111
294,3,90,42.36,MEDIUM,5696,128,5760,192,64,64, 136,1.00,0.20,0.3746
295,3,91,44.29,MEDIUM,5760,128,5824,192,64,64, 102,1.00,0.20,0.3752
296,3,92,44.63,MEDIUM,5824,128,5888,192,64,64, 164,1.00,0.20,0.4122
297,3,93,60.77,MEDIUM,5888,128,5952,192,64,64, 146,1.00,0.20,0.5570
298,3,94,80.98,HIGH,5952,128,6016,192,64,64,  61,1.00,1.00,0.7304
299,3,95,94.90,HIGH,6016,128,6080,192,64,64,  55,1.00,1.00,0.7840
300,3,96,97.27,HIGH,6080,128,6144,192,64,64,   4,1.00,1.00,0.6112
301,3,97,97.61,HIGH,6144,128,6208,192,64,64,   8,1.00,1.00,0.6744
302,3,98,85.55,HIGH,6208,128,6272,192,64,64,  15,1.00,1.00,0.6710
303,3,99,75.98,MEDIUM,6272,128,6336,192,64,64,  31,1.00,0.20,0.5329
304,3,100,47.90,MEDIUM,6336,128,6400,192,64,64,  14,1.00,0.20,0.2343
329,4,23,58.98,MEDIUM,1408,192,1472,256,64,64, 250,1.00,0.20,0.5777
330,4,24,85.62,HIGH,1472,192,1536,256,64,64, 429,1.00,1.00,0.8163
331,4,25,87.38,HIGH,1536,192,1600,256,64,64, 690,1.00,1.00,0.8331
332,4,26,88.23,HIGH,1600,192,1664,256,64,64, 412,1.00,1.00,0.8243
333,4,27,82.76,HIGH,1664,192,1728,256,64,64,  66,1.00,1.00,0.7425
334,4,28,90.48,HIGH,1728,192,1792,256,64,64, 168,1.00,1.00,0.8077
335,4,29,74.51,MEDIUM,1792,192,1856,256,64,64, 133,1.00,0.20,0.6480
336,4,30,77.64,MEDIUM,1856,192,1920,256,64,64,  91,1.00,0.20,0.6407
