Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2176x2272
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2176x2272
Scaled Tile Size: 64x64
Total Mask: 93.96%, Total Tissue: 6.04%
Tiles: 34x36 = 1224
    28 ( 2.29%) tiles >=80% tissue
   102 ( 8.33%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
315,10,9,22.83,MEDIUM,512,576,576,640,64,64,   1,1.00,0.20,0.0130
316,10,10,30.32,MEDIUM,576,576,640,640,64,64,   0,1.00,0.20,0.0036
350,11,10,35.91,MEDIUM,576,640,640,704,64,64,   5,1.00,0.20,0.0821
351,11,11,70.43,MEDIUM,640,640,704,704,64,64,   3,1.00,0.20,0.2024
352,11,12,49.37,MEDIUM,704,640,768,704,64,64,   4,1.00,0.20,0.1174
384,12,10,41.09,MEDIUM,576,704,640,768,64,64,   0,1.00,0.20,0.0058
385,12,11,66.65,MEDIUM,640,704,704,768,64,64,   9,1.00,0.20,0.3195
386,12,12,86.96,HIGH,704,704,768,768,64,64,   4,1.00,1.00,0.5409
387,12,13,70.26,MEDIUM,768,704,832,768,64,64,   4,1.00,0.20,0.2207
388,12,14,55.20,MEDIUM,832,704,896,768,64,64,   9,1.00,0.20,0.2354
418,13,10,43.90,MEDIUM,576,768,640,832,64,64,   0,1.00,0.20,0.0046
419,13,11,76.49,MEDIUM,640,768,704,832,64,64,   0,1.00,0.20,0.0519
420,13,12,79.74,MEDIUM,704,768,768,832,64,64,   2,1.00,0.20,0.1839
421,13,13,83.57,HIGH,768,768,832,832,64,64,   6,1.00,1.00,0.5761
422,13,14,92.68,HIGH,832,768,896,832,64,64,  10,1.00,1.00,0.6702
