Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2688x2432
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2688x2432
Scaled Tile Size: 64x64
Total Mask: 71.47%, Total Tissue: 28.53%
Tiles: 42x38 = 1596
   269 (16.85%) tiles >=80% tissue
   369 (23.12%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
101,3,17,16.87,MEDIUM,1024,128,1088,192,64,64,  10,1.00,0.20,0.0302
102,3,18,23.10,MEDIUM,1088,128,1152,192,64,64,   2,1.00,0.20,0.0191
142,4,16,46.09,MEDIUM,960,192,1024,256,64,64,  24,1.00,0.20,0.2708
143,4,17,81.27,HIGH,1024,192,1088,256,64,64, 103,1.00,1.00,0.7542
144,4,18,85.89,HIGH,1088,192,1152,256,64,64,   0,1.00,1.00,0.0000
145,4,19,78.64,MEDIUM,1152,192,1216,256,64,64,  26,1.00,0.20,0.5287
146,4,20,39.18,MEDIUM,1216,192,1280,256,64,64,   2,1.00,0.20,0.0526
147,4,21,30.40,MEDIUM,1280,192,1344,256,64,64,  13,1.00,0.20,0.1053
184,5,16,52.44,MEDIUM,960,256,1024,320,64,64,  28,1.00,0.20,0.3404
185,5,17,84.38,HIGH,1024,256,1088,320,64,64,   7,1.00,1.00,0.5933
186,5,18,84.25,HIGH,1088,256,1152,320,64,64,   0,1.00,1.00,0.0801
187,5,19,71.75,MEDIUM,1152,256,1216,320,64,64,   0,1.00,0.20,0.0000
188,5,20,66.82,MEDIUM,1216,256,1280,320,64,64,   3,1.00,0.20,0.1793
189,5,21,75.59,MEDIUM,1280,256,1344,320,64,64,   1,1.00,0.20,0.0958
190,5,22,16.31,MEDIUM,1344,256,1408,320,64,64,   6,1.00,0.20,0.0201
191,5,23,52.93,MEDIUM,1408,256,1472,320,64,64,   0,1.00,0.20,0.0000
192,5,24,19.85,MEDIUM,1472,256,1536,320,64,64,   0,1.00,0.20,0.0000
194,5,26,15.67,MEDIUM,1600,256,1664,320,64,64,  12,1.00,0.20,0.0291
195,5,27,33.28,MEDIUM,1664,256,1728,320,64,64,  10,1.00,0.20,0.1093
196,5,28,25.22,MEDIUM,1728,256,1792,320,64,64,   3,1.00,0.20,0.0255
225,6,15,32.89,MEDIUM,896,320,960,384,64,64,   0,1.00,0.20,0.0000
226,6,16,72.22,MEDIUM,960,320,1024,384,64,64,  11,1.00,0.20,0.3778
227,6,17,80.20,HIGH,1024,320,1088,384,64,64,   2,1.00,1.00,0.4072
228,6,18,79.37,MEDIUM,1088,320,1152,384,64,64,   0,1.00,0.20,0.0000
229,6,19,77.25,MEDIUM,1152,320,1216,384,64,64,   0,1.00,0.20,0.0240
230,6,20,85.72,HIGH,1216,320,1280,384,64,64,   2,1.00,1.00,0.4788
231,6,21,85.99,HIGH,1280,320,1344,384,64,64,   0,1.00,1.00,0.0000
232,6,22,48.66,MEDIUM,1344,320,1408,384,64,64,   0,1.00,0.20,0.0000
233,6,23,90.01,HIGH,1408,320,1472,384,64,64,   0,1.00,1.00,0.0000
234,6,24,86.40,HIGH,1472,320,1536,384,64,64,   0,1.00,1.00,0.0000
235,6,25,78.37,MEDIUM,1536,320,1600,384,64,64,  30,1.00,0.20,0.5430
236,6,26,50.24,MEDIUM,1600,320,1664,384,64,64,   5,1.00,0.20,0.1507
237,6,27,27.59,MEDIUM,1664,320,1728,384,64,64,   0,1.00,0.20,0.0000
239,6,29,22.63,MEDIUM,1792,320,1856,384,64,64,   5,1.00,0.20,0.0323
240,6,30,38.60,MEDIUM,1856,320,1920,384,64,64,   6,1.00,0.20,0.1035
265,7,13,21.29,MEDIUM,768,384,832,448,64,64,  72,1.00,0.20,0.1103
266,7,14,27.22,MEDIUM,832,384,896,448,64,64,  35,1.00,0.20,0.1332
267,7,15,46.19,MEDIUM,896,384,960,448,64,64, 316,1.00,0.20,0.4704
268,7,16,88.01,HIGH,960,384,1024,448,64,64, 548,1.00,1.00,0.8301
269,7,17,84.50,HIGH,1024,384,1088,448,64,64,   0,1.00,1.00,0.0000
270,7,18,82.93,HIGH,1088,384,1152,448,64,64,   0,1.00,1.00,0.0000
271,7,19,57.91,MEDIUM,1152,384,1216,448,64,64, 146,1.00,0.20,0.5331
272,7,20,85.23,HIGH,1216,384,1280,448,64,64,  21,1.00,1.00,0.6908
273,7,21,86.99,HIGH,1280,384,1344,448,64,64,   5,1.00,1.00,0.5850
274,7,22,58.96,MEDIUM,1344,384,1408,448,64,64, 107,1.00,0.20,0.5193
275,7,23,87.70,HIGH,1408,384,1472,448,64,64, 207,1.00,1.00,0.8041
276,7,24,85.86,HIGH,1472,384,1536,448,64,64,   0,1.00,1.00,0.0000
277,7,25,88.33,HIGH,1536,384,1600,448,64,64,   0,1.00,1.00,0.2383
278,7,26,81.32,HIGH,1600,384,1664,448,64,64,   1,1.00,1.00,0.3155
279,7,27,86.35,HIGH,1664,384,1728,448,64,64,   0,1.00,1.00,0.0000
280,7,28,59.01,MEDIUM,1728,384,1792,448,64,64,   0,1.00,0.20,0.0000
281,7,29,33.67,MEDIUM,1792,384,1856,448,64,64,   0,1.00,0.20,0.0000
307,8,13,78.74,MEDIUM,768,448,832,512,64,64,  50,1.00,0.20,0.5970
308,8,14,91.67,HIGH,832,448,896,512,64,64,  14,1.00,1.00,0.6950
309,8,15,93.33,HIGH,896,448,960,512,64,64, 120,1.00,1.00,0.8069
310,8,16,91.92,HIGH,960,448,1024,512,64,64,   6,1.00,1.00,0.6243
311,8,17,86.25,HIGH,1024,448,1088,512,64,64,   0,1.00,1.00,0.0000
312,8,18,86.04,HIGH,1088,448,1152,512,64,64,   0,1.00,1.00,0.2011
313,8,19,78.69,MEDIUM,1152,448,1216,512,64,64,  69,1.00,0.20,0.6258
314,8,20,83.84,HIGH,1216,448,1280,512,64,64,  74,1.00,1.00,0.7524
315,8,21,89.72,HIGH,1280,448,1344,512,64,64,   0,1.00,1.00,0.0000
316,8,22,82.57,HIGH,1344,448,1408,512,64,64,   0,1.00,1.00,0.0000
317,8,23,87.38,HIGH,1408,448,1472,512,64,64,  95,1.00,1.00,0.7770
318,8,24,86.65,HIGH,1472,448,1536,512,64,64,   0,1.00,1.00,0.0000
319,8,25,88.38,HIGH,1536,448,1600,512,64,64,   0,1.00,1.00,0.0000
320,8,26,87.23,HIGH,1600,448,1664,512,64,64,   0,1.00,1.00,0.0000
321,8,27,85.13,HIGH,1664,448,1728,512,64,64,   0,1.00,1.00,0.0000
322,8,28,89.01,HIGH,1728,448,1792,512,64,64,   0,1.00,1.00,0.0000
323,8,29,91.67,HIGH,1792,448,1856,512,64,64,   8,1.00,1.00,0.6460
324,8,30,89.31,HIGH,1856,448,1920,512,64,64,   0,1.00,1.00,0.0000
325,8,31,60.33,MEDIUM,1920,448,1984,512,64,64,   0,1.00,0.20,0.0000
326,8,32,43.85,MEDIUM,1984,448,2048,512,64,64,   0,1.00,0.20,0.0000
350,9,14,82.59,HIGH,832,512,896,576,64,64,  83,1.00,1.00,0.7512
351,9,15,91.80,HIGH,896,512,960,576,64,64,  54,1.00,1.00,0.7719
352,9,16,90.70,HIGH,960,512,1024,576,64,64,  32,1.00,1.00,0.7421
353,9,17,91.50,HIGH,1024,512,1088,576,64,64,  55,1.00,1.00,0.7713
354,9,18,85.74,HIGH,1088,512,1152,576,64,64,  24,1.00,1.00,0.7027
