Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 3320x9591
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 3320x9591
Scaled Tile Size: 64x64
Total Mask: 96.14%, Total Tissue: 3.86%
Tiles: 52x150 = 7800
   216 ( 2.77%) tiles >=80% tissue
   186 ( 2.38%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
2054,40,26,30.03,MEDIUM,1600,2496,1664,2560,64,64, 747,1.00,0.20,0.3113
2055,40,27,30.59,MEDIUM,1664,2496,1728,2560,64,64, 771,1.00,0.20,0.3207
2106,41,26,83.35,HIGH,1600,2560,1664,2624,64,64,   9,1.00,1.00,0.6154
2107,41,27,96.41,HIGH,1664,2560,1728,2624,64,64,  60,1.00,1.00,0.7928
2108,41,28,83.98,HIGH,1728,2560,1792,2624,64,64, 403,1.00,1.00,0.8089
2109,41,29,39.53,MEDIUM,1792,2560,1856,2624,64,64, 903,1.00,0.20,0.4483
2158,42,26,74.27,MEDIUM,1600,2624,1664,2688,64,64,  70,1.00,0.20,0.5989
2159,42,27,93.26,HIGH,1664,2624,1728,2688,64,64, 109,1.00,1.00,0.8036
2160,42,28,95.29,HIGH,1728,2624,1792,2688,64,64, 469,1.00,1.00,0.8482
2161,42,29,96.46,HIGH,1792,2624,1856,2688,64,64,  60,1.00,1.00,0.7925
2162,42,30,77.51,MEDIUM,1856,2624,1920,2688,64,64, 624,1.00,0.20,0.7439
2210,43,26,78.17,MEDIUM,1600,2688,1664,2752,64,64,   6,1.00,0.20,0.3180
2211,43,27,89.23,HIGH,1664,2688,1728,2752,64,64,   6,1.00,1.00,0.6017
2212,43,28,91.48,HIGH,1728,2688,1792,2752,64,64,  98,1.00,1.00,0.7936
2213,43,29,95.63,HIGH,1792,2688,1856,2752,64,64,  36,1.00,1.00,0.7674
2214,43,30,99.07,HIGH,1856,2688,1920,2752,64,64,  61,1.00,1.00,0.8020
2215,43,31,79.05,MEDIUM,1920,2688,1984,2752,64,64,2366,1.00,0.20,0.7938
2257,44,21,98.39,HIGH,1280,2752,1344,2816,64,64, 336,1.00,1.00,0.8493
2258,44,22,82.54,HIGH,1344,2752,1408,2816,64,64, 733,1.00,1.00,0.8180
2262,44,26,47.39,MEDIUM,1600,2752,1664,2816,64,64, 258,1.00,0.20,0.4710
2263,44,27,80.64,HIGH,1664,2752,1728,2816,64,64, 102,1.00,1.00,0.7510
2264,44,28,88.96,HIGH,1728,2752,1792,2816,64,64,   2,1.00,1.00,0.4292
2265,44,29,95.78,HIGH,1792,2752,1856,2816,64,64,   3,1.00,1.00,0.5462
2266,44,30,98.90,HIGH,1856,2752,1920,2816,64,64, 172,1.00,1.00,0.8345
2267,44,31,99.58,HIGH,1920,2752,1984,2816,64,64,2998,1.00,1.00,0.8881
2268,44,32,56.03,MEDIUM,1984,2752,2048,2816,64,64,1738,1.00,0.20,0.6476
2308,45,20,27.27,MEDIUM,1216,2816,1280,2880,64,64,   0,1.00,0.20,0.0009
2309,45,21,97.73,HIGH,1280,2816,1344,2880,64,64,   1,1.00,1.00,0.4540
2310,45,22,99.54,HIGH,1344,2816,1408,2880,64,64,  11,1.00,1.00,0.7126
2311,45,23,84.91,HIGH,1408,2816,1472,2880,64,64, 248,1.00,1.00,0.7991
2312,45,24,29.59,MEDIUM,1472,2816,1536,2880,64,64, 926,1.00,0.20,0.3139
2315,45,27,31.91,MEDIUM,1664,2816,1728,2880,64,64,   6,1.00,0.20,0.0742
2316,45,28,88.21,HIGH,1728,2816,1792,2880,64,64,   7,1.00,1.00,0.6219
2317,45,29,85.57,HIGH,1792,2816,1856,2880,64,64,  27,1.00,1.00,0.7104
2318,45,30,98.97,HIGH,1856,2816,1920,2880,64,64, 198,1.00,1.00,0.8383
2319,45,31,99.76,HIGH,1920,2816,1984,2880,64,64,4657,1.00,1.00,0.8937
2320,45,32,97.95,HIGH,1984,2816,2048,2880,64,64,2585,1.00,1.00,0.8829
