Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2432x3360
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2432x3360
Scaled Tile Size: 64x64
Total Mask: 87.95%, Total Tissue: 12.05%
Tiles: 38x53 = 2014
   178 ( 8.84%) tiles >=80% tissue
   143 ( 7.10%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
97,3,21,45.70,MEDIUM,1280,128,1344,192,64,64,   2,1.00,0.20,0.0779
98,3,22,75.78,MEDIUM,1344,128,1408,192,64,64, 308,1.00,0.20,0.7038
100,3,24,93.09,HIGH,1472,128,1536,192,64,64,  51,1.00,1.00,0.7737
101,3,25,98.19,HIGH,1536,128,1600,192,64,64,  21,1.00,1.00,0.7479
102,3,26,74.83,MEDIUM,1600,128,1664,192,64,64,   5,1.00,0.20,0.2910
134,4,20,34.79,MEDIUM,1216,192,1280,256,64,64,   1,1.00,0.20,0.0293
135,4,21,48.32,MEDIUM,1280,192,1344,256,64,64,   0,1.00,0.20,0.0000
136,4,22,57.89,MEDIUM,1344,192,1408,256,64,64,   1,1.00,0.20,0.0752
137,4,23,22.12,MEDIUM,1408,192,1472,256,64,64,   1,1.00,0.20,0.0051
138,4,24,80.27,HIGH,1472,192,1536,256,64,64,  42,1.00,1.00,0.7079
139,4,25,97.12,HIGH,1536,192,1600,256,64,64,   3,1.00,1.00,0.5517
140,4,26,97.78,HIGH,1600,192,1664,256,64,64,  16,1.00,1.00,0.7303
141,4,27,46.39,MEDIUM,1664,192,1728,256,64,64,   5,1.00,0.20,0.1246
174,5,22,39.23,MEDIUM,1344,256,1408,320,64,64,   0,1.00,0.20,0.0000
175,5,23,69.68,MEDIUM,1408,256,1472,320,64,64,   6,1.00,0.20,0.2870
176,5,24,95.92,HIGH,1472,256,1536,320,64,64,  41,1.00,1.00,0.7748
177,5,25,97.24,HIGH,1536,256,1600,320,64,64,  37,1.00,1.00,0.7746
178,5,26,97.14,HIGH,1600,256,1664,320,64,64,  24,1.00,1.00,0.7529
179,5,27,68.31,MEDIUM,1664,256,1728,320,64,64,  10,1.00,0.20,0.3368
203,6,13,31.01,MEDIUM,768,320,832,384,64,64,   0,1.00,0.20,0.0000
204,6,14,35.47,MEDIUM,832,320,896,384,64,64,   0,1.00,0.20,0.0000
205,6,15,19.09,MEDIUM,896,320,960,384,64,64,   0,1.00,0.20,0.0000
212,6,22,87.96,HIGH,1344,320,1408,384,64,64,   0,1.00,1.00,0.0866
213,6,23,71.29,MEDIUM,1408,320,1472,384,64,64,   3,1.00,0.20,0.1798
214,6,24,54.20,MEDIUM,1472,320,1536,384,64,64,   3,1.00,0.20,0.1314
215,6,25,68.68,MEDIUM,1536,320,1600,384,64,64,  13,1.00,0.20,0.3808
216,6,26,98.32,HIGH,1600,320,1664,384,64,64,  17,1.00,1.00,0.7352
217,6,27,88.43,HIGH,1664,320,1728,384,64,64,   4,1.00,1.00,0.5562
243,7,15,33.47,MEDIUM,896,384,960,448,64,64,   0,1.00,0.20,0.0000
244,7,16,55.05,MEDIUM,960,384,1024,448,64,64,   0,1.00,0.20,0.0000
245,7,17,27.08,MEDIUM,1024,384,1088,448,64,64,   0,1.00,0.20,0.0000
250,7,22,35.91,MEDIUM,1344,384,1408,448,64,64,   0,1.00,0.20,0.0009
251,7,23,38.50,MEDIUM,1408,384,1472,448,64,64,   0,1.00,0.20,0.0000
252,7,24,66.77,MEDIUM,1472,384,1536,448,64,64,   0,1.00,0.20,0.0000
253,7,25,70.87,MEDIUM,1536,384,1600,448,64,64,   5,1.00,0.20,0.2552
254,7,26,63.45,MEDIUM,1600,384,1664,448,64,64,   3,1.00,0.20,0.1440
255,7,27,99.00,HIGH,1664,384,1728,448,64,64,   5,1.00,1.00,0.6405
256,7,28,19.51,MEDIUM,1728,384,1792,448,64,64,   3,1.00,0.20,0.0183
283,8,17,29.57,MEDIUM,1024,448,1088,512,64,64,   0,1.00,0.20,0.0000
284,8,18,20.83,MEDIUM,1088,448,1152,512,64,64,   0,1.00,0.20,0.0000
288,8,22,71.53,MEDIUM,1344,448,1408,512,64,64,   0,1.00,0.20,0.0177
289,8,23,85.33,HIGH,1408,448,1472,512,64,64,   1,1.00,1.00,0.3412
291,8,25,82.42,HIGH,1536,448,1600,512,64,64,  30,1.00,1.00,0.7005
292,8,26,94.04,HIGH,1600,448,1664,512,64,64,  10,1.00,1.00,0.6753
293,8,27,98.78,HIGH,1664,448,1728,512,64,64,   6,1.00,1.00,0.6525
294,8,28,28.71,MEDIUM,1728,448,1792,512,64,64,   3,1.00,0.20,0.0359
324,9,20,36.38,MEDIUM,1216,512,1280,576,64,64,   0,1.00,0.20,0.0017
325,9,21,74.41,MEDIUM,1280,512,1344,576,64,64,   2,1.00,0.20,0.1590
