Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2560x2912
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2560x2912
Scaled Tile Size: 64x64
Total Mask: 94.07%, Total Tissue: 5.93%
Tiles: 40x46 = 1840
    57 ( 3.10%) tiles >=80% tissue
   118 ( 6.41%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
247,7,7,16.72,MEDIUM,384,384,448,448,64,64,1323,1.00,0.20,0.1350
287,8,7,25.73,MEDIUM,384,448,448,512,64,64, 379,1.00,0.20,0.2233
327,9,7,23.75,MEDIUM,384,512,448,576,64,64, 242,1.00,0.20,0.1804
330,9,10,15.58,MEDIUM,576,512,640,576,64,64,   2,1.00,0.20,0.0070
367,10,7,27.05,MEDIUM,384,576,448,640,64,64, 196,1.00,0.20,0.2129
407,11,7,43.04,MEDIUM,384,640,448,704,64,64, 211,1.00,0.20,0.4109
410,11,10,18.95,MEDIUM,576,640,640,704,64,64,  10,1.00,0.20,0.0375
425,11,25,36.79,MEDIUM,1536,640,1600,704,64,64,   0,1.00,0.20,0.0011
426,11,26,19.17,MEDIUM,1600,640,1664,704,64,64,   0,1.00,0.20,0.0020
448,12,8,31.25,MEDIUM,448,704,512,768,64,64, 202,1.00,0.20,0.2666
450,12,10,20.80,MEDIUM,576,704,640,768,64,64, 352,1.00,0.20,0.1559
451,12,11,25.29,MEDIUM,640,704,704,768,64,64, 339,1.00,0.20,0.2130
488,13,8,24.49,MEDIUM,448,768,512,832,64,64, 197,1.00,0.20,0.1815
489,13,9,43.65,MEDIUM,512,768,576,832,64,64, 126,1.00,0.20,0.3837
490,13,10,51.34,MEDIUM,576,768,640,832,64,64, 120,1.00,0.20,0.4590
491,13,11,41.19,MEDIUM,640,768,704,832,64,64,  22,1.00,0.20,0.2230
528,14,8,34.74,MEDIUM,448,832,512,896,64,64,  92,1.00,0.20,0.2637
529,14,9,47.09,MEDIUM,512,832,576,896,64,64,  40,1.00,0.20,0.3273
530,14,10,47.53,MEDIUM,576,832,640,896,64,64,   1,1.00,0.20,0.0285
531,14,11,40.23,MEDIUM,640,832,704,896,64,64,   0,1.00,0.20,0.0102
569,15,9,61.72,MEDIUM,512,896,576,960,64,64,  54,1.00,0.20,0.4846
570,15,10,60.21,MEDIUM,576,896,640,960,64,64,   2,1.00,0.20,0.1164
571,15,11,59.18,MEDIUM,640,896,704,960,64,64,   0,1.00,0.20,0.0235
609,16,9,74.37,MEDIUM,512,960,576,1024,64,64,  54,1.00,0.20,0.5777
610,16,10,59.69,MEDIUM,576,960,640,1024,64,64,   7,1.00,0.20,0.2435
611,16,11,49.54,MEDIUM,640,960,704,1024,64,64,   1,1.00,0.20,0.0328
648,17,8,25.93,MEDIUM,448,1024,512,1088,64,64, 245,1.00,0.20,0.2083
649,17,9,87.65,HIGH,512,1024,576,1088,64,64, 102,1.00,1.00,0.7808
650,17,10,82.18,HIGH,576,1024,640,1088,64,64, 264,1.00,1.00,0.7903
651,17,11,71.39,MEDIUM,640,1024,704,1088,64,64,   4,1.00,0.20,0.2306
652,17,12,38.57,MEDIUM,704,1024,768,1088,64,64,   4,1.00,0.20,0.0850
688,18,8,52.03,MEDIUM,448,1088,512,1152,64,64, 258,1.00,0.20,0.5175
689,18,9,98.71,HIGH,512,1088,576,1152,64,64, 468,1.00,1.00,0.8570
690,18,10,92.24,HIGH,576,1088,640,1152,64,64, 435,1.00,1.00,0.8380
691,18,11,81.52,HIGH,640,1088,704,1152,64,64,   4,1.00,1.00,0.5012
692,18,12,50.54,MEDIUM,704,1088,768,1152,64,64,   0,1.00,0.20,0.0047
693,18,13,26.49,MEDIUM,768,1088,832,1152,64,64,   7,1.00,0.20,0.0603
728,19,8,58.11,MEDIUM,448,1152,512,1216,64,64, 234,1.00,0.20,0.5664
729,19,9,99.44,HIGH,512,1152,576,1216,64,64,1739,1.00,1.00,0.8806
730,19,10,94.26,HIGH,576,1152,640,1216,64,64, 484,1.00,1.00,0.8460
731,19,11,81.47,HIGH,640,1152,704,1216,64,64,   5,1.00,1.00,0.5444
732,19,12,53.56,MEDIUM,704,1152,768,1216,64,64,   7,1.00,0.20,0.1957
733,19,13,31.54,MEDIUM,768,1152,832,1216,64,64,   1,1.00,0.20,0.0132
768,20,8,46.07,MEDIUM,448,1216,512,1280,64,64, 165,1.00,0.20,0.4279
769,20,9,99.15,HIGH,512,1216,576,1280,64,64,1645,1.00,1.00,0.8792
770,20,10,94.53,HIGH,576,1216,640,1280,64,64,4069,1.00,1.00,0.8813
771,20,11,90.87,HIGH,640,1216,704,1280,64,64, 241,1.00,1.00,0.8192
772,20,12,66.16,MEDIUM,704,1216,768,1280,64,64,   2,1.00,0.20,0.1314
773,20,13,52.93,MEDIUM,768,1216,832,1280,64,64,   2,1.00,0.20,0.0740
808,21,8,37.70,MEDIUM,448,1280,512,1344,64,64, 162,1.00,0.20,0.3327
809,21,9,99.02,HIGH,512,1280,576,1344,64,64, 685,1.00,1.00,0.8649
810,21,10,98.93,HIGH,576,1280,640,1344,64,64, 772,1.00,1.00,0.8668
811,21,11,95.36,HIGH,640,1280,704,1344,64,64, 513,1.00,1.00,0.8502
812,21,12,78.91,MEDIUM,704,1280,768,1344,64,64,  20,1.00,0.20,0.5011
813,21,13,52.56,MEDIUM,768,1280,832,1344,64,64,   3,1.00,0.20,0.1179
848,22,8,57.35,MEDIUM,448,1344,512,1408,64,64, 111,1.00,0.20,0.5082
849,22,9,98.61,HIGH,512,1344,576,1408,64,64, 299,1.00,1.00,0.8472
850,22,10,98.95,HIGH,576,1344,640,1408,64,64, 465,1.00,1.00,0.8575
851,22,11,97.75,HIGH,640,1344,704,1408,64,64, 948,1.00,1.00,0.8676
852,22,12,82.42,HIGH,704,1344,768,1408,64,64,   9,1.00,1.00,0.6057
853,22,13,45.09,MEDIUM,768,1344,832,1408,64,64,  13,1.00,0.20,0.2084
