Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2265x5338
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2265x5338
Scaled Tile Size: 64x64
Total Mask: 85.93%, Total Tissue: 14.07%
Tiles: 36x84 = 3024
   270 ( 8.93%) tiles >=80% tissue
   329 (10.88%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
14,1,14,14.09,MEDIUM,832,0,896,64,64,64,   0,0.49,0.20,0.0000
46,2,10,24.93,MEDIUM,576,64,640,128,64,64,   0,1.00,0.20,0.0000
49,2,13,15.01,MEDIUM,768,64,832,128,64,64,   0,0.49,0.20,0.0000
62,2,26,19.48,MEDIUM,1600,64,1664,128,64,64, 351,1.00,0.20,0.1394
80,3,8,17.99,MEDIUM,448,128,512,192,64,64,   0,0.49,0.20,0.0000
83,3,11,27.73,MEDIUM,640,128,704,192,64,64,   0,0.49,0.20,0.0000
97,3,25,53.52,MEDIUM,1536,128,1600,192,64,64,  94,1.00,0.20,0.4607
98,3,26,79.79,MEDIUM,1600,128,1664,192,64,64, 593,1.00,0.20,0.7528
114,4,6,41.92,MEDIUM,320,192,384,256,64,64, 237,1.00,0.20,0.4055
115,4,7,86.06,HIGH,384,192,448,256,64,64, 389,1.00,1.00,0.8154
116,4,8,65.70,MEDIUM,448,192,512,256,64,64, 185,0.49,0.20,0.5604
117,4,9,30.76,MEDIUM,512,192,576,256,64,64,   0,0.49,0.20,0.0000
118,4,10,16.38,MEDIUM,576,192,640,256,64,64,   0,0.49,0.20,0.0000
119,4,11,32.20,MEDIUM,640,192,704,256,64,64,   0,0.49,0.20,0.0000
120,4,12,30.42,MEDIUM,704,192,768,256,64,64,   0,0.49,0.20,0.0000
133,4,25,75.10,MEDIUM,1536,192,1600,256,64,64,  48,1.00,0.20,0.5719
134,4,26,90.19,HIGH,1600,192,1664,256,64,64, 573,1.00,1.00,0.8378
150,5,6,51.07,MEDIUM,320,256,384,320,64,64, 197,1.00,0.20,0.4912
151,5,7,100.00,HIGH,384,256,448,320,64,64, 104,0.49,1.00,0.7982
152,5,8,86.40,HIGH,448,256,512,320,64,64, 551,1.00,1.00,0.8250
153,5,9,39.38,MEDIUM,512,256,576,320,64,64,  65,0.49,0.20,0.2361
169,5,25,95.63,HIGH,1536,256,1600,320,64,64,  65,1.00,1.00,0.7933
170,5,26,97.17,HIGH,1600,256,1664,320,64,64, 403,1.00,1.00,0.8500
187,6,7,72.34,MEDIUM,384,320,448,384,64,64,  66,1.00,0.20,0.5814
188,6,8,100.00,HIGH,448,320,512,384,64,64, 219,1.00,1.00,0.8436
189,6,9,64.36,MEDIUM,512,320,576,384,64,64, 477,1.00,0.20,0.6542
204,6,24,27.03,MEDIUM,1472,320,1536,384,64,64, 294,1.00,0.20,0.2301
205,6,25,99.71,HIGH,1536,320,1600,384,64,64,  32,0.49,1.00,0.7362
206,6,26,99.56,HIGH,1600,320,1664,384,64,64, 453,1.00,1.00,0.8585
207,6,27,39.26,MEDIUM,1664,320,1728,384,64,64, 223,1.00,0.20,0.3706
224,7,8,96.46,HIGH,448,384,512,448,64,64,  58,1.00,1.00,0.7917
225,7,9,97.90,HIGH,512,384,576,448,64,64, 348,1.00,1.00,0.8488
226,7,10,28.32,MEDIUM,576,384,640,448,64,64, 619,1.00,0.20,0.2791
241,7,25,99.27,HIGH,1536,384,1600,448,64,64,  42,1.00,1.00,0.7874
242,7,26,98.97,HIGH,1600,384,1664,448,64,64, 299,1.00,1.00,0.8482
243,7,27,53.05,MEDIUM,1664,384,1728,448,64,64,  56,1.00,0.20,0.4131
260,8,8,54.08,MEDIUM,448,448,512,512,64,64, 186,1.00,0.20,0.5157
261,8,9,100.00,HIGH,512,448,576,512,64,64, 138,1.00,1.00,0.8314
262,8,10,93.26,HIGH,576,448,640,512,64,64, 351,1.00,1.00,0.8361
263,8,11,32.20,MEDIUM,640,448,704,512,64,64, 356,0.49,0.20,0.2707
276,8,24,35.13,MEDIUM,1472,448,1536,512,64,64,  81,1.00,0.20,0.2597
277,8,25,99.90,HIGH,1536,448,1600,512,64,64,  68,1.00,1.00,0.8085
278,8,26,99.19,HIGH,1600,448,1664,512,64,64, 110,0.49,1.00,0.7977
279,8,27,46.53,MEDIUM,1664,448,1728,512,64,64,  42,1.00,0.20,0.3272
297,9,9,89.26,HIGH,512,512,576,576,64,64,  84,1.00,1.00,0.7798
298,9,10,99.32,HIGH,576,512,640,576,64,64, 143,1.00,1.00,0.8306
299,9,11,78.64,MEDIUM,640,512,704,576,64,64, 460,1.00,0.20,0.7370
312,9,24,44.56,MEDIUM,1472,512,1536,576,64,64,  84,1.00,0.20,0.3634
313,9,25,99.10,HIGH,1536,512,1600,576,64,64, 102,1.00,1.00,0.8197
314,9,26,97.44,HIGH,1600,512,1664,576,64,64,  43,0.49,1.00,0.7455
315,9,27,33.94,MEDIUM,1664,512,1728,576,64,64,  38,0.49,0.20,0.1517
334,10,10,88.53,HIGH,576,576,640,640,64,64,  53,1.00,1.00,0.7576
335,10,11,99.34,HIGH,640,576,704,640,64,64, 404,1.00,1.00,0.8556
336,10,12,47.53,MEDIUM,704,576,768,640,64,64, 748,1.00,0.20,0.5312
348,10,24,53.00,MEDIUM,1472,576,1536,640,64,64,  76,1.00,0.20,0.4390
349,10,25,99.10,HIGH,1536,576,1600,640,64,64, 100,1.00,1.00,0.8193
350,10,26,94.12,HIGH,1600,576,1664,640,64,64,  35,0.49,1.00,0.7192
351,10,27,16.80,MEDIUM,1664,576,1728,640,64,64,  21,0.49,0.20,0.0305
370,11,10,36.25,MEDIUM,576,640,640,704,64,64, 160,1.00,0.20,0.3149
371,11,11,100.00,HIGH,640,640,704,704,64,64,  53,0.49,1.00,0.7671
372,11,12,97.66,HIGH,704,640,768,704,64,64, 382,1.00,1.00,0.8501
373,11,13,17.80,MEDIUM,768,640,832,704,64,64,1029,0.49,0.20,0.1278
