Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2560x2848
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2560x2848
Scaled Tile Size: 64x64
Total Mask: 62.25%, Total Tissue: 37.75%
Tiles: 40x45 = 1800
   561 (31.17%) tiles >=80% tissue
   247 (13.72%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
140,4,20,62.79,MEDIUM,1216,192,1280,256,64,64, 144,1.00,0.20,0.5726
141,4,21,90.82,HIGH,1280,192,1344,256,64,64, 257,1.00,1.00,0.8208
142,4,22,30.52,MEDIUM,1344,192,1408,256,64,64, 145,1.00,0.20,0.2407
178,5,18,22.73,MEDIUM,1088,256,1152,320,64,64, 279,1.00,0.20,0.1727
179,5,19,79.88,MEDIUM,1152,256,1216,320,64,64,  68,1.00,0.20,0.6306
180,5,20,98.14,HIGH,1216,256,1280,320,64,64, 213,1.00,1.00,0.8379
181,5,21,96.12,HIGH,1280,256,1344,320,64,64, 211,1.00,1.00,0.8319
182,5,22,92.43,HIGH,1344,256,1408,320,64,64, 144,1.00,1.00,0.8097
215,6,15,26.07,MEDIUM,896,320,960,384,64,64,  15,1.00,0.20,0.0863
216,6,16,31.67,MEDIUM,960,320,1024,384,64,64,  86,1.00,0.20,0.2251
217,6,17,65.31,MEDIUM,1024,320,1088,384,64,64, 349,1.00,0.20,0.6449
218,6,18,87.65,HIGH,1088,320,1152,384,64,64,  28,1.00,1.00,0.7207
219,6,19,98.56,HIGH,1152,320,1216,384,64,64,  19,1.00,1.00,0.7456
220,6,20,94.53,HIGH,1216,320,1280,384,64,64,  34,1.00,1.00,0.7611
221,6,21,91.02,HIGH,1280,320,1344,384,64,64,  69,1.00,1.00,0.7788
222,6,22,99.10,HIGH,1344,320,1408,384,64,64,  20,0.49,1.00,0.7016
223,6,23,62.50,MEDIUM,1408,320,1472,384,64,64,  56,1.00,0.20,0.4935
254,7,14,17.68,MEDIUM,832,384,896,448,64,64,   4,1.00,0.20,0.0180
255,7,15,56.35,MEDIUM,896,384,960,448,64,64,   4,1.00,0.20,0.1656
256,7,16,82.20,HIGH,960,384,1024,448,64,64,   6,1.00,1.00,0.5624
257,7,17,86.82,HIGH,1024,384,1088,448,64,64, 140,1.00,1.00,0.7886
258,7,18,88.94,HIGH,1088,384,1152,448,64,64,  10,1.00,1.00,0.6505
259,7,19,96.04,HIGH,1152,384,1216,448,64,64,  32,1.00,1.00,0.7638
260,7,20,96.51,HIGH,1216,384,1280,448,64,64,  32,1.00,1.00,0.7651
261,7,21,94.60,HIGH,1280,384,1344,448,64,64,  20,1.00,1.00,0.7325
262,7,22,97.41,HIGH,1344,384,1408,448,64,64,  27,1.00,1.00,0.7595
263,7,23,94.95,HIGH,1408,384,1472,448,64,64,  12,1.00,1.00,0.6965
264,7,24,31.15,MEDIUM,1472,384,1536,448,64,64,  12,1.00,0.20,0.1072
293,8,13,36.35,MEDIUM,768,448,832,512,64,64,   4,1.00,0.20,0.0665
