Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2816x4608
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2816x4608
Scaled Tile Size: 64x64
Total Mask: 76.97%, Total Tissue: 23.03%
Tiles: 44x72 = 3168
   488 (15.40%) tiles >=80% tissue
   562 (17.74%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
105,3,17,46.95,MEDIUM,1024,128,1088,192,64,64,   2,1.00,0.20,0.0810
149,4,17,84.30,HIGH,1024,192,1088,256,64,64,   2,1.00,1.00,0.4543
150,4,18,76.39,MEDIUM,1088,192,1152,256,64,64,   0,1.00,0.20,0.0346
151,4,19,38.38,MEDIUM,1152,192,1216,256,64,64,   0,1.00,0.20,0.0000
194,5,18,30.18,MEDIUM,1088,256,1152,320,64,64,   1,1.00,0.20,0.0092
195,5,19,40.21,MEDIUM,1152,256,1216,320,64,64,   1,1.00,0.20,0.0209
335,8,27,26.86,MEDIUM,1664,448,1728,512,64,64,   0,1.00,0.20,0.0053
336,8,28,66.60,MEDIUM,1728,448,1792,512,64,64,   3,1.00,0.20,0.1536
337,8,29,40.11,MEDIUM,1792,448,1856,512,64,64,   2,1.00,0.20,0.0431
367,9,15,45.80,MEDIUM,896,512,960,576,64,64,   0,1.00,0.20,0.0101
368,9,16,89.18,HIGH,960,512,1024,576,64,64,   2,1.00,1.00,0.4395
369,9,17,80.00,HIGH,1024,512,1088,576,64,64,  17,1.00,1.00,0.6502
370,9,18,43.02,MEDIUM,1088,512,1152,576,64,64,   4,1.00,0.20,0.1019
371,9,19,44.68,MEDIUM,1152,512,1216,576,64,64,   3,1.00,0.20,0.0862
372,9,20,34.33,MEDIUM,1216,512,1280,576,64,64,   2,1.00,0.20,0.0424
378,9,26,79.20,MEDIUM,1600,512,1664,576,64,64,   5,1.00,0.20,0.3062
379,9,27,94.48,HIGH,1664,512,1728,576,64,64,   5,1.00,1.00,0.6082
380,9,28,95.19,HIGH,1728,512,1792,576,64,64,   3,1.00,1.00,0.5536
381,9,29,87.40,HIGH,1792,512,1856,576,64,64,   3,1.00,1.00,0.5072
382,9,30,62.57,MEDIUM,1856,512,1920,576,64,64,   0,1.00,0.20,0.0000
383,9,31,22.02,MEDIUM,1920,512,1984,576,64,64,   0,1.00,0.20,0.0043
400,10,4,29.98,MEDIUM,192,576,256,640,64,64,   1,1.00,0.20,0.0099
401,10,5,71.36,MEDIUM,256,576,320,640,64,64,   1,1.00,0.20,0.0572
402,10,6,31.10,MEDIUM,320,576,384,640,64,64,   0,1.00,0.20,0.0014
411,10,15,49.83,MEDIUM,896,576,960,640,64,64,   4,1.00,0.20,0.1363
412,10,16,96.17,HIGH,960,576,1024,640,64,64,   5,1.00,1.00,0.6167
413,10,17,98.75,HIGH,1024,576,1088,640,64,64,   3,0.49,1.00,0.4753
414,10,18,96.68,HIGH,1088,576,1152,640,64,64,   2,1.00,1.00,0.5083
415,10,19,85.13,HIGH,1152,576,1216,640,64,64,   5,1.00,1.00,0.5663
416,10,20,71.17,MEDIUM,1216,576,1280,640,64,64,   7,1.00,0.20,0.3091
417,10,21,41.11,MEDIUM,1280,576,1344,640,64,64, 106,1.00,0.20,0.3436
418,10,22,17.99,MEDIUM,1344,576,1408,640,64,64, 263,1.00,0.20,0.1142
422,10,26,91.97,HIGH,1600,576,1664,640,64,64,   3,1.00,1.00,0.5594
423,10,27,93.02,HIGH,1664,576,1728,640,64,64,   6,1.00,1.00,0.6258
424,10,28,82.42,HIGH,1728,576,1792,640,64,64,   4,1.00,1.00,0.5274
