Slide tile_summary.slide_name Tile Summary:
Original Dimensions: 2048x4096
Original Tile Size: 64x64
Scale Factor: 1/1x
Scaled Dimensions: 2048x4096
Scaled Tile Size: 64x64
Total Mask: 86.84%, Total Tissue: 13.16%
Tiles: 32x64 = 2048
   150 ( 7.32%) tiles >=80% tissue
   249 (12.16%) tiles >=10% and <80% tissue
     0 ( 0.00%) tiles >0% and <10% tissue
     0 ( 0.00%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Color Factor,S and V Factor,Quantity Factor,Score
51,2,19,27.37,MEDIUM,1152,64,1216,128,64,64,   3,1.00,0.20,0.0349
52,2,20,83.59,HIGH,1216,64,1280,128,64,64,   2,1.00,1.00,0.4659
53,2,21,81.40,HIGH,1280,64,1344,128,64,64,   3,1.00,1.00,0.4894
54,2,22,55.25,MEDIUM,1344,64,1408,128,64,64,   4,1.00,0.20,0.1495
81,3,17,48.24,MEDIUM,1024,128,1088,192,64,64,  10,1.00,0.20,0.2063
82,3,18,94.82,HIGH,1088,128,1152,192,64,64,  13,1.00,1.00,0.7059
83,3,19,88.77,HIGH,1152,128,1216,192,64,64,   3,1.00,1.00,0.5299
84,3,20,84.74,HIGH,1216,128,1280,192,64,64,   1,1.00,1.00,0.2993
85,3,21,84.67,HIGH,1280,128,1344,192,64,64,   6,1.00,1.00,0.5853
86,3,22,53.78,MEDIUM,1344,128,1408,192,64,64,   7,1.00,0.20,0.2052
102,4,6,58.94,MEDIUM,320,192,384,256,64,64,  13,1.00,0.20,0.3073
103,4,7,49.54,MEDIUM,384,192,448,256,64,64,  14,1.00,0.20,0.2437
112,4,16,41.53,MEDIUM,960,192,1024,256,64,64,   7,1.00,0.20,0.1273
113,4,17,94.46,HIGH,1024,192,1088,256,64,64,   4,1.00,1.00,0.5761
114,4,18,86.38,HIGH,1088,192,1152,256,64,64,  21,1.00,1.00,0.6972
115,4,19,81.32,HIGH,1152,192,1216,256,64,64,  28,1.00,1.00,0.6902
116,4,20,75.85,MEDIUM,1216,192,1280,256,64,64,   7,1.00,0.20,0.3442
117,4,21,70.36,MEDIUM,1280,192,1344,256,64,64,   4,1.00,0.20,0.2293
118,4,22,32.42,MEDIUM,1344,192,1408,256,64,64,   0,1.00,0.20,0.0000
133,5,5,28.78,MEDIUM,256,256,320,320,64,64,   9,1.00,0.20,0.0797
134,5,6,68.14,MEDIUM,320,256,384,320,64,64,   0,1.00,0.20,0.0055
135,5,7,74.90,MEDIUM,384,256,448,320,64,64,   0,1.00,0.20,0.0142
136,5,8,73.97,MEDIUM,448,256,512,320,64,64,  11,1.00,0.20,0.3887
144,5,16,97.75,HIGH,960,256,1024,320,64,64,   9,1.00,1.00,0.6873
145,5,17,88.23,HIGH,1024,256,1088,320,64,64,   1,1.00,1.00,0.3795
146,5,18,78.34,MEDIUM,1088,256,1152,320,64,64,   2,1.00,0.20,0.1449
147,5,19,65.48,MEDIUM,1152,256,1216,320,64,64,   0,1.00,0.20,0.0000
148,5,20,54.17,MEDIUM,1216,256,1280,320,64,64,   0,1.00,0.20,0.0226
149,5,21,30.47,MEDIUM,1280,256,1344,320,64,64,   0,1.00,0.20,0.0003
165,6,5,31.32,MEDIUM,256,320,320,384,64,64,   0,1.00,0.20,0.0000
166,6,6,75.98,MEDIUM,320,320,384,384,64,64,   3,1.00,0.20,0.2285
167,6,7,75.78,MEDIUM,384,320,448,384,64,64,   1,1.00,0.20,0.1162
168,6,8,82.64,HIGH,448,320,512,384,64,64,   7,1.00,1.00,0.5839
169,6,9,57.23,MEDIUM,512,320,576,384,64,64,  17,1.00,0.20,0.3266
175,6,15,59.33,MEDIUM,896,320,960,384,64,64,   8,1.00,0.20,0.2551
176,6,16,96.12,HIGH,960,320,1024,384,64,64,   5,1.00,1.00,0.6175
177,6,17,85.23,HIGH,1024,320,1088,384,64,64,   2,1.00,1.00,0.4102
178,6,18,71.00,MEDIUM,1088,320,1152,384,64,64,   0,1.00,0.20,0.0303
179,6,19,49.17,MEDIUM,1152,320,1216,384,64,64,   0,1.00,0.20,0.0126
180,6,20,15.33,MEDIUM,1216,320,1280,384,64,64,   0,1.00,0.20,0.0000
197,7,5,21.53,MEDIUM,256,384,320,448,64,64,   1,1.00,0.20,0.0070
198,7,6,62.48,MEDIUM,320,384,384,448,64,64,   1,1.00,0.20,0.0926
199,7,7,66.21,MEDIUM,384,384,448,448,64,64,   5,1.00,0.20,0.2216
200,7,8,76.66,MEDIUM,448,384,512,448,64,64,   0,1.00,0.20,0.0000
201,7,9,88.16,HIGH,512,384,576,448,64,64,  20,1.00,1.00,0.7023
202,7,10,35.96,MEDIUM,576,384,640,448,64,64,  21,1.00,0.20,0.1755
207,7,15,92.82,HIGH,896,384,960,448,64,64,  10,1.00,1.00,0.6737
208,7,16,91.38,HIGH,960,384,1024,448,64,64,   1,1.00,1.00,0.2676
209,7,17,79.61,MEDIUM,1024,384,1088,448,64,64,   2,1.00,0.20,0.1703
210,7,18,59.03,MEDIUM,1088,384,1152,448,64,64,   4,1.00,0.20,0.1630
211,7,19,28.20,MEDIUM,1152,384,1216,448,64,64,   0,1.00,0.20,0.0000
229,8,5,25.98,MEDIUM,256,448,320,512,64,64,   1,1.00,0.20,0.0162
230,8,6,44.56,MEDIUM,320,448,384,512,64,64,   0,1.00,0.20,0.0030
231,8,7,64.79,MEDIUM,384,448,448,512,64,64,   0,1.00,0.20,0.0000
232,8,8,69.92,MEDIUM,448,448,512,512,64,64,   1,1.00,0.20,0.0836
233,8,9,83.42,HIGH,512,448,576,512,64,64,   2,1.00,1.00,0.4574
